industry	workflow	manual_work	duplicate_entry	spreadsheets	emails	reconciliation	document_gathering	approvals	coordination	blocked_work	revenue_leakage	delayed_cash	compliance_burden	investigation	status_chasing	operational_friction	pain_summary
Food services and drinking places	Inventory, waste, and recipe variance reconciliation	High	High	High	Medium	High	Medium	Low	Medium	Medium	High	Low	Low	High	Medium	High	Variance work is real but remains diffuse and already served.
Food services and drinking places	Complaint, refund, chargeback, and third-party dispute recovery	High	High	High	High	High	High	Medium	High	High	High	Low	Low	High	High	High	Marketplace payout disputes remain painful but too occupied.
Food services and drinking places	Health, safety, labor, tax, and compliance reporting	High	Low	Medium	Medium	Medium	High	High	Medium	Medium	Low	Low	High	High	Medium	High	Compliance work is heavy but periodic and incumbent-adjacent.
Wholesale trade	Demand Planning	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Demand Planning still depends on manual coordination and exception handling inside the wholesale trade workflow stack.
Wholesale trade	Procurement and Replenishment	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Procurement and Replenishment still depends on manual coordination and exception handling inside the wholesale trade workflow stack.
Wholesale trade	Pricing and Quoting	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Pricing and Quoting still depends on manual coordination and exception handling inside the wholesale trade workflow stack.
Wholesale trade	Order Management and Fulfillment	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Order Management and Fulfillment still depends on manual coordination and exception handling inside the wholesale trade workflow stack.
Wholesale trade	Billing and Collections	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Billing and Collections still depends on manual coordination and exception handling inside the wholesale trade workflow stack.
Wholesale trade	Workforce planning, assignment, and time capture	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce planning, assignment, and time capture still depends on manual coordination and exception handling inside the wholesale trade workflow stack.
Wholesale trade	Customer, participant, or stakeholder communication and escalation	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Customer, participant, or stakeholder communication and escalation still depends on manual coordination and exception handling inside the wholesale trade workflow stack.
Wholesale trade	Compliance, reporting, and audit support	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Compliance, reporting, and audit support still depends on manual coordination and exception handling inside the wholesale trade workflow stack.
Wholesale trade	Exception, dispute, and recovery handling	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Exception, dispute, and recovery handling still depends on manual coordination and exception handling inside the wholesale trade workflow stack.
Miscellaneous professional, scientific, and technical services	Lead and Proposal Management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Lead and Proposal Management still depends on manual coordination and exception handling inside the miscellaneous professional, scientific, and technical services workflow stack.
Miscellaneous professional, scientific, and technical services	Staffing and Capacity Planning	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Staffing and Capacity Planning still depends on manual coordination and exception handling inside the miscellaneous professional, scientific, and technical services workflow stack.
Miscellaneous professional, scientific, and technical services	Project Delivery	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Project Delivery still depends on manual coordination and exception handling inside the miscellaneous professional, scientific, and technical services workflow stack.
Miscellaneous professional, scientific, and technical services	Time and Expense Capture	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Time and Expense Capture still depends on manual coordination and exception handling inside the miscellaneous professional, scientific, and technical services workflow stack.
Miscellaneous professional, scientific, and technical services	Billing and Collections	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Billing and Collections still depends on manual coordination and exception handling inside the miscellaneous professional, scientific, and technical services workflow stack.
Miscellaneous professional, scientific, and technical services	Time and expense capture to billing	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Time and expense capture to billing still depends on manual coordination and exception handling inside the miscellaneous professional, scientific, and technical services workflow stack.
Miscellaneous professional, scientific, and technical services	Supplier, vendor, or partner onboarding and compliance	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Supplier, vendor, or partner onboarding and compliance still depends on manual coordination and exception handling inside the miscellaneous professional, scientific, and technical services workflow stack.
Miscellaneous professional, scientific, and technical services	Customer, participant, or stakeholder communication and escalation	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Customer, participant, or stakeholder communication and escalation still depends on manual coordination and exception handling inside the miscellaneous professional, scientific, and technical services workflow stack.
Miscellaneous professional, scientific, and technical services	Compliance, reporting, and audit support	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Compliance, reporting, and audit support still depends on manual coordination and exception handling inside the miscellaneous professional, scientific, and technical services workflow stack.
Miscellaneous professional, scientific, and technical services	Exception, dispute, and recovery handling	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Exception, dispute, and recovery handling still depends on manual coordination and exception handling inside the miscellaneous professional, scientific, and technical services workflow stack.
Other real estate	Lease Acquisition and Pipeline Management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Lease Acquisition and Pipeline Management still depends on manual coordination and exception handling inside the other real estate workflow stack.
Other real estate	Asset and Investor Reporting	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Asset and Investor Reporting still depends on manual coordination and exception handling inside the other real estate workflow stack.
Other real estate	Asset Maintenance and Work Orders	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Asset Maintenance and Work Orders still depends on manual coordination and exception handling inside the other real estate workflow stack.
Other real estate	Billing and Reconciliation	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Billing and Reconciliation still depends on manual coordination and exception handling inside the other real estate workflow stack.
Other real estate	Capital Planning and Compliance Reporting	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Capital Planning and Compliance Reporting still depends on manual coordination and exception handling inside the other real estate workflow stack.
Other real estate	Billing, settlement, and close	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Billing, settlement, and close still depends on manual coordination and exception handling inside the other real estate workflow stack.
Other real estate	Workforce planning, assignment, and time capture	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce planning, assignment, and time capture still depends on manual coordination and exception handling inside the other real estate workflow stack.
Other real estate	Supplier, vendor, or partner onboarding and compliance	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Supplier, vendor, or partner onboarding and compliance still depends on manual coordination and exception handling inside the other real estate workflow stack.
Ambulatory health care services	Access, Intake, and Scheduling	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Access, Intake, and Scheduling still depends on manual coordination and exception handling inside the ambulatory health care services workflow stack.
Ambulatory health care services	Eligibility and Authorization	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Eligibility and Authorization still depends on manual coordination and exception handling inside the ambulatory health care services workflow stack.
Ambulatory health care services	Clinical Documentation	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Clinical Documentation still depends on manual coordination and exception handling inside the ambulatory health care services workflow stack.
Ambulatory health care services	Coding and Charge Capture	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Coding and Charge Capture still depends on manual coordination and exception handling inside the ambulatory health care services workflow stack.
Ambulatory health care services	Billing, Claims, and Collections	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Billing, Claims, and Collections still depends on manual coordination and exception handling inside the ambulatory health care services workflow stack.
Ambulatory health care services	Lead, intake, and qualification management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Lead, intake, and qualification management still depends on manual coordination and exception handling inside the ambulatory health care services workflow stack.
Ambulatory health care services	Supplier, vendor, or partner onboarding and compliance	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Supplier, vendor, or partner onboarding and compliance still depends on manual coordination and exception handling inside the ambulatory health care services workflow stack.
Ambulatory health care services	Customer, participant, or stakeholder communication and escalation	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Customer, participant, or stakeholder communication and escalation still depends on manual coordination and exception handling inside the ambulatory health care services workflow stack.
Ambulatory health care services	Compliance, reporting, and audit support	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Compliance, reporting, and audit support still depends on manual coordination and exception handling inside the ambulatory health care services workflow stack.
Ambulatory health care services	Exception, dispute, and recovery handling	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Exception, dispute, and recovery handling still depends on manual coordination and exception handling inside the ambulatory health care services workflow stack.
Other retail	Merchandising and Assortment Planning	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Merchandising and Assortment Planning still depends on manual coordination and exception handling inside the other retail workflow stack.
Other retail	Inventory Allocation and Replenishment	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Inventory Allocation and Replenishment still depends on manual coordination and exception handling inside the other retail workflow stack.
Other retail	Order Capture and Payment Processing	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Order Capture and Payment Processing still depends on manual coordination and exception handling inside the other retail workflow stack.
Other retail	Fulfillment and Returns Management	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Fulfillment and Returns Management still depends on manual coordination and exception handling inside the other retail workflow stack.
Other retail	Pricing and Promotion Management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Pricing and Promotion Management still depends on manual coordination and exception handling inside the other retail workflow stack.
Other retail	Workforce planning, assignment, and time capture	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce planning, assignment, and time capture still depends on manual coordination and exception handling inside the other retail workflow stack.
Other retail	Customer, participant, or stakeholder communication and escalation	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Customer, participant, or stakeholder communication and escalation still depends on manual coordination and exception handling inside the other retail workflow stack.
Other retail	Compliance, reporting, and audit support	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Compliance, reporting, and audit support still depends on manual coordination and exception handling inside the other retail workflow stack.
Insurance carriers and related activities	Distribution and Quote-to-Bind	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Distribution and Quote-to-Bind still depends on manual coordination and exception handling inside the insurance carriers and related activities workflow stack.
Insurance carriers and related activities	Underwriting and Pricing	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Underwriting and Pricing still depends on manual coordination and exception handling inside the insurance carriers and related activities workflow stack.
Insurance carriers and related activities	Policy Administration	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Policy Administration still depends on manual coordination and exception handling inside the insurance carriers and related activities workflow stack.
Insurance carriers and related activities	Claims Administration	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Claims Administration still depends on manual coordination and exception handling inside the insurance carriers and related activities workflow stack.
Insurance carriers and related activities	Regulatory and Reinsurance Reporting	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Regulatory and Reinsurance Reporting still depends on manual coordination and exception handling inside the insurance carriers and related activities workflow stack.
Insurance carriers and related activities	Workforce planning, assignment, and time capture	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce planning, assignment, and time capture still depends on manual coordination and exception handling inside the insurance carriers and related activities workflow stack.
Insurance carriers and related activities	Supplier, vendor, or partner onboarding and compliance	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Supplier, vendor, or partner onboarding and compliance still depends on manual coordination and exception handling inside the insurance carriers and related activities workflow stack.
Insurance carriers and related activities	Customer, participant, or stakeholder communication and escalation	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Customer, participant, or stakeholder communication and escalation still depends on manual coordination and exception handling inside the insurance carriers and related activities workflow stack.
Insurance carriers and related activities	Exception, dispute, and recovery handling	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Exception, dispute, and recovery handling still depends on manual coordination and exception handling inside the insurance carriers and related activities workflow stack.
Federal Reserve banks, credit intermediation, and related activities	Account and Loan Onboarding	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Account and Loan Onboarding still depends on manual coordination and exception handling inside the federal reserve banks, credit intermediation, and related activities workflow stack.
Federal Reserve banks, credit intermediation, and related activities	Deposit and Payment Operations	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Deposit and Payment Operations still depends on manual coordination and exception handling inside the federal reserve banks, credit intermediation, and related activities workflow stack.
Federal Reserve banks, credit intermediation, and related activities	Credit Underwriting and Servicing	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Credit Underwriting and Servicing still depends on manual coordination and exception handling inside the federal reserve banks, credit intermediation, and related activities workflow stack.
Federal Reserve banks, credit intermediation, and related activities	Risk and Compliance Monitoring	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Risk and Compliance Monitoring still depends on manual coordination and exception handling inside the federal reserve banks, credit intermediation, and related activities workflow stack.
Federal Reserve banks, credit intermediation, and related activities	Collections and Loss Mitigation	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Collections and Loss Mitigation still depends on manual coordination and exception handling inside the federal reserve banks, credit intermediation, and related activities workflow stack.
Federal Reserve banks, credit intermediation, and related activities	Account and loan onboarding; collections	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Account and loan onboarding; collections still depends on manual coordination and exception handling inside the federal reserve banks, credit intermediation, and related activities workflow stack.
Federal Reserve banks, credit intermediation, and related activities	Execution monitoring and operational coordination	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Execution monitoring and operational coordination still depends on manual coordination and exception handling inside the federal reserve banks, credit intermediation, and related activities workflow stack.
Federal Reserve banks, credit intermediation, and related activities	Workforce planning, assignment, and time capture	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce planning, assignment, and time capture still depends on manual coordination and exception handling inside the federal reserve banks, credit intermediation, and related activities workflow stack.
Federal Reserve banks, credit intermediation, and related activities	Supplier, vendor, or partner onboarding and compliance	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Supplier, vendor, or partner onboarding and compliance still depends on manual coordination and exception handling inside the federal reserve banks, credit intermediation, and related activities workflow stack.
Federal Reserve banks, credit intermediation, and related activities	Customer, participant, or stakeholder communication and escalation	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Customer, participant, or stakeholder communication and escalation still depends on manual coordination and exception handling inside the federal reserve banks, credit intermediation, and related activities workflow stack.
Federal Reserve banks, credit intermediation, and related activities	Exception, dispute, and recovery handling	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Exception, dispute, and recovery handling still depends on manual coordination and exception handling inside the federal reserve banks, credit intermediation, and related activities workflow stack.
Hospitals	Access, Admissions, and Throughput Management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Access, Admissions, and Throughput Management still depends on manual coordination and exception handling inside the hospitals workflow stack.
Hospitals	Clinical Documentation	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Clinical Documentation still depends on manual coordination and exception handling inside the hospitals workflow stack.
Hospitals	Care Coordination and Order Management	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Care Coordination and Order Management still depends on manual coordination and exception handling inside the hospitals workflow stack.
Hospitals	Billing, Claims, and Collections	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Billing, Claims, and Collections still depends on manual coordination and exception handling inside the hospitals workflow stack.
Hospitals	Payer Contract Management	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Payer Contract Management still depends on manual coordination and exception handling inside the hospitals workflow stack.
Hospitals	Workforce planning, assignment, and time capture	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce planning, assignment, and time capture still depends on manual coordination and exception handling inside the hospitals workflow stack.
Hospitals	Supplier, vendor, or partner onboarding and compliance	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Supplier, vendor, or partner onboarding and compliance still depends on manual coordination and exception handling inside the hospitals workflow stack.
Hospitals	Customer, participant, or stakeholder communication and escalation	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Customer, participant, or stakeholder communication and escalation still depends on manual coordination and exception handling inside the hospitals workflow stack.
Hospitals	Compliance, reporting, and audit support	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Compliance, reporting, and audit support still depends on manual coordination and exception handling inside the hospitals workflow stack.
Hospitals	Exception, dispute, and recovery handling	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Exception, dispute, and recovery handling still depends on manual coordination and exception handling inside the hospitals workflow stack.
Food and beverage and tobacco products	Demand Planning	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Demand Planning still depends on manual coordination and exception handling inside the food and beverage and tobacco products workflow stack.
Food and beverage and tobacco products	Material Sourcing	High	Low	Low	High	Medium	High	Medium	High	High	Low	Low	Medium	Medium	High	Medium	Material Sourcing still depends on manual coordination and exception handling inside the food and beverage and tobacco products workflow stack.
Food and beverage and tobacco products	Production Planning and Process Control	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Production Planning and Process Control still depends on manual coordination and exception handling inside the food and beverage and tobacco products workflow stack.
Food and beverage and tobacco products	Regulatory Labeling and Compliance	High	Medium	Medium	High	Medium	High	High	Medium	Medium	Low	Low	High	Medium	Medium	Medium	Regulatory Labeling and Compliance still depends on manual coordination and exception handling inside the food and beverage and tobacco products workflow stack.
Food and beverage and tobacco products	Distribution and Trade Promotion	Medium	Low	Low	Medium	Low	Medium	Medium	High	High	Medium	Low	Low	Medium	High	High	Distribution and Trade Promotion still depends on manual coordination and exception handling inside the food and beverage and tobacco products workflow stack.
Food and beverage and tobacco products	Lead, intake, and qualification management	Medium	Medium	Medium	High	Low	Medium	High	Medium	Medium	High	Medium	Low	Medium	Medium	Medium	Lead, intake, and qualification management still depends on manual coordination and exception handling inside the food and beverage and tobacco products workflow stack.
Food and beverage and tobacco products	Billing, settlement, and close	High	High	High	High	High	Medium	High	Medium	Medium	High	High	Medium	High	Medium	Medium	Billing, settlement, and close still depends on manual coordination and exception handling inside the food and beverage and tobacco products workflow stack.
Food and beverage and tobacco products	Workforce planning, assignment, and time capture	High	High	Medium	High	Low	Medium	High	Medium	Medium	Low	Low	Low	Medium	Medium	High	Workforce planning, assignment, and time capture still depends on manual coordination and exception handling inside the food and beverage and tobacco products workflow stack.
Food and beverage and tobacco products	Customer, participant, or stakeholder communication and escalation	Medium	Low	Low	High	Low	Medium	Medium	High	Medium	Medium	Low	Low	Medium	High	Medium	Customer, participant, or stakeholder communication and escalation still depends on manual coordination and exception handling inside the food and beverage and tobacco products workflow stack.
Food and beverage and tobacco products	Exception, dispute, and recovery handling	High	High	High	High	High	High	High	High	High	High	High	Medium	High	High	High	Exception, dispute, and recovery handling still depends on manual coordination and exception handling inside the food and beverage and tobacco products workflow stack.
