industry	workflow	failure	diagnosis	evidence_gathering	decision	correction	approval	resubmission	closure	actual_operational_behavior	candidate_relevance
Administrative and support services	Payroll processing	Payroll batch fails or needs correction	Check export, tax, and rule error	Gather batch logs and employee records	Correct batch or off-cycle pay	Update payroll data	Payroll manager approval	Reprocess payroll	Close payroll run	Still near incumbent product boundary	Support-W003
Administrative and support services	Client invoicing, cash application, and collections	Invoice rejected or underpaid	Check billed hours, rates, and approval path	Gather approvals, contracts, and billing record	Rebill, dispute, or write off	Update invoice or ledger	Client or internal approval	Resubmit invoice	Close AR issue	Downstream expression of pay/bill mismatch	Support-W003
Administrative and support services	Service-level monitoring, reporting, and escalation	SLA or attendance issue escalates	Check placement and service record	Gather schedule, attendance, and client notes	Replace worker or corrective plan	Update account action plan	Client or ops approval	Resend report or staff change	Close escalation	Recovery is account-management heavy	None
Administrative and support services	Renewal, replacement, and offboarding	Assignment ends with unresolved items	Check final hours, notice, and backfill need	Gather time, placement, and client notes	Replace worker or close assignment	Update ATS and billing path	Client or ops approval	Resubmit final time or replacement	Close assignment	Mostly cleanup and redeploy work	None
Food services and drinking places	Menu, pricing, and promotion planning	Menu or promo is inconsistent across channels	Check price table and source channels	Gather POS, marketplace, and promo rules	Align or pull promo	Update menu config	Owner or GM approval	Republish prices	Close discrepancy	Mostly channel-admin work	None
Food services and drinking places	Labor scheduling and time capture	Shift coverage or punches fail	Check schedule, call-off, and time edits	Gather punch logs and manager notes	Edit time or rebalance staffing	Update schedule or timesheet	Manager approval	Resubmit payroll inputs	Close labor issue	Common but already strongly served	None
Food services and drinking places	Procurement, receiving, and inventory setup	Shipment or invoice does not match	Check PO, delivery, and invoice detail	Gather packing slips and vendor invoice	Accept, reject, or rebill	Update inventory and AP entries	Manager approval if variance large	Resubmit vendor claim	Close receiving issue	Real but not clearly wedge-defining	None
Food services and drinking places	Prep and production planning	Prep plan fails against demand	Check forecast and prep execution	Gather ticket volume and waste notes	Fire more prep or cut items	Update prep sheet	Chef or manager approval	Reissue station plan	Close shift variance	Mostly local operating judgment	None
Food services and drinking places	POS, delivery-channel, and order capture	Order source or menu sync breaks	Check POS and marketplace records	Gather source filters, menus, and order IDs	Fix menu or manually enter order	Update POS or aggregator	Manager or vendor approval	Republish or resend order	Close order issue	Platforms already expose much of this layer	Support-Food01
Food services and drinking places	Kitchen and service fulfillment	Order is late, wrong, or lost	Check ticket trail and station status	Gather KDS and service notes	Remake, comp, or refund	Correct item or process	Manager approval if refund	Resend order or replacement	Close guest issue	Operational recovery exists but not a first wedge	None
Food services and drinking places	Daily sales summary and cash close	Close package does not balance	Check sales, deposits, and processor totals	Gather POS reports, deposits, and DSS detail	Adjust close or reopen issue	Update accounting input	Manager or accountant approval	Repost or reimport	Close daily books	Manual report comparison remains normal	Support-Food01
Food services and drinking places	Inventory, waste, and recipe variance reconciliation	Margin variance unexplained	Check counts, comps, and recipes	Gather count sheets, voids, waste logs, and invoices	Adjust counts, recipes, or controls	Update inventory record	Manager approval	Recount or repost	Close variance review	Still a diffuse store-level diagnosis loop	None
Food services and drinking places	Complaint, refund, chargeback, and third-party dispute recovery	Payout or fee discrepancy appears	Check carrier, order, and settlement records	Gather order IDs, POS totals, fees, and credits	File dispute, refund guest, or absorb loss	Update ledger or case log	Marketplace or manager approval	Resubmit dispute or claim	Close when credit posts	Real pain, but entrants face strong platform control	KILL-Food01
Food services and drinking places	Health, safety, labor, tax, and compliance reporting	Reporting or inspection issue appears	Check missing records or filing error	Gather logs, receipts, temperature sheets, and payroll detail	Amend, respond, or retrain	Update report or process	Manager, inspector, or accountant approval	Resubmit filing or proof	Close compliance issue	Heavy paperwork but not a strong startup beachhead	None
