rank_2025_gross_output,industry_name,bea_table_line,gross_output_2025_usd_mn,value_added_2025_usd_mn,q1_2026_real_go_change_pct_saar,economic_size_summary,canonical_operating_system,canonical_workflow_family_1,canonical_workflow_1,canonical_workflow_family_2,canonical_workflow_2,canonical_workflow_family_3,canonical_workflow_3,canonical_workflow_family_4,canonical_workflow_4,canonical_workflow_family_5,canonical_workflow_5,canonical_workflows,canonical_workflow_families,systems_of_record_categories,phase_1b_validation_status,phase_1b_missing_fields,operating_model_observation,core_workflows_observation,systems_of_record_map,technology_maturity_assessment,structural_pressures_observation,inefficiency_signals_observation,evidence_quality_confidence,source_links,hypothesis_notes
11,Administrative and support services,72,1385804,860321,5.5,$1.39T gross output; $0.86T value added (BEA 2025),Workforce Coordination and Service Operations,"Access, Intake, and Contracting",Client Intake and Scope Definition,Workforce and Labor Operations,Recruiting and Work Assignment,Workforce and Labor Operations,Workforce Scheduling,Governance and Portfolio Operations,Service-Level Monitoring,Finance and Revenue Operations,"Payroll, Billing, and Reconciliation","Client Intake and Scope Definition | Recruiting and Work Assignment | Workforce Scheduling | Service-Level Monitoring | Payroll, Billing, and Reconciliation","Access, Intake, and Contracting | Workforce and Labor Operations | Workforce and Labor Operations | Governance and Portfolio Operations | Finance and Revenue Operations",HCM / Workforce Management | CRM | Service Management | ERP,Complete,,"Labor- and process-intermediation model spanning staffing, facilities, customer support, and back-office execution under contract/SLA economics.",Client intake and scoping | Recruiting/staffing or work assignment | Schedule/shift orchestration | SLA/performance tracking | Billing/payroll/reconciliation,Workday | SAP SuccessFactors | UKG | Salesforce | ServiceNow,"Medium: point tools are common, but end-to-end visibility across labor, work, and billing remains uneven.",Wage pressure; buyer consolidation; automation substitution; compliance exposure; contract margin compression.,Manual schedule changes; duplicate payroll/billing entry; poor job-worker matching; fragmented client performance reporting.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/programs-surveys/aies/about.html | https://www.census.gov/programs-surveys/sas/about.html,
12,Hospitals,78,1351693,741201,4.1,$1.35T gross output; $0.74T value added (BEA 2025),Care Delivery and Reimbursement,"Access, Intake, and Contracting","Access, Admissions, and Throughput Management",Clinical and Case Operations,Clinical Documentation,Clinical and Case Operations,Care Coordination and Order Management,Finance and Revenue Operations,"Billing, Claims, and Collections",Finance and Revenue Operations,Payer Contract Management,"Access, Admissions, and Throughput Management | Clinical Documentation | Care Coordination and Order Management | Billing, Claims, and Collections | Payer Contract Management","Access, Intake, and Contracting | Clinical and Case Operations | Clinical and Case Operations | Finance and Revenue Operations | Finance and Revenue Operations",EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP,Complete,,"Capital- and labor-intensive acute-care reimbursement model governed by case mix, occupancy, staffing, payer contracts, and revenue-cycle execution.",Patient access and bed management | Clinical documentation | Orders/pharmacy/labs coordination | Coding and claims | Contracting and collections,Epic | Oracle Health | Meditech | Workday | Optum,"Medium-High: clinical cores are mature, but staffing, interoperability, and payer administration are still major friction points.",Workforce shortages; payer mix pressure; site-of-care migration; cybersecurity risk; capital intensity.,Lengthy prior auth and discharge coordination; denial management backlogs; repeated charting; siloed clinical/financial data.,High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet | https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/historical,
13,Food and beverage and tobacco products,26,1272835,354474,-0.6,$1.27T gross output; $0.35T value added (BEA 2025),Process Manufacturing and Throughput Control,Planning and Allocation,Demand Planning,Sourcing and Supply,Material Sourcing,Production and Asset Operations,Production Planning and Process Control,"Risk, Compliance, and Reporting",Regulatory Labeling and Compliance,Customer and Experience Operations,Distribution and Trade Promotion,Demand Planning | Material Sourcing | Production Planning and Process Control | Regulatory Labeling and Compliance | Distribution and Trade Promotion,"Planning and Allocation | Sourcing and Supply | Production and Asset Operations | Risk, Compliance, and Reporting | Customer and Experience Operations",ERP | Supply Chain Planning | Manufacturing Execution System | Industrial Automation and SCADA,Complete,,"Process manufacturing of packaged consumables; economics depend on throughput, yield, quality/compliance, distribution, and brand/channel power.",Demand planning | Raw-material sourcing | Production scheduling and quality | Regulatory labeling/compliance | Distribution and trade promotion,SAP | Oracle | Infor | Siemens Opcenter | Rockwell FactoryTalk,"Medium-High: plant systems are mature, but trade promotion, supplier traceability, and planning remain fragmented.",Input-price volatility; food safety/regulatory load; retailer bargaining power; traceability expectations; labor automation needs.,Forecast error; recall/traceability friction; spreadsheet trade promotion; quality data stranded between plant and enterprise systems.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.census.gov/programs-surveys/aies/about.html,
14,"Other services, except government",88,1119281,649382,1.5,$1.12T gross output; $0.65T value added (BEA 2025),Workforce Coordination and Service Operations,"Access, Intake, and Contracting",Lead Intake and Scheduling,Workforce and Labor Operations,Workforce Scheduling and Dispatch,Delivery and Service Execution,Field Service Execution,Finance and Revenue Operations,Billing and Payment Processing,Customer and Experience Operations,Customer Retention and Repeat Service,Lead Intake and Scheduling | Workforce Scheduling and Dispatch | Field Service Execution | Billing and Payment Processing | Customer Retention and Repeat Service,"Access, Intake, and Contracting | Workforce and Labor Operations | Delivery and Service Execution | Finance and Revenue Operations | Customer and Experience Operations",CRM | POS and Payments | HCM / Workforce Management | Service Management,Complete,,"Highly fragmented local-service model spanning repair, maintenance, membership, and personal services; economics rely on repeat demand, route/appointment density, and labor utilization.",Lead intake | Scheduling/dispatch | Field or appointment execution | Billing/payments | Retention and repeat-service management,ServiceTitan | Housecall Pro | Mindbody | Square | QuickBooks,Medium-Low: many subsectors remain SMB-heavy with limited workflow standardization.,Labor scarcity; inflation-sensitive consumer demand; fragmented local competition; digital discovery shifts; compliance burden for licensed trades.,Phone-first intake; paper/clipboard workflows; weak customer history; low dispatch optimization; poor cash-application discipline.,Low-Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/programs-surveys/aies/about.html | https://www.census.gov/programs-surveys/sas/about.html,
15,"Securities, commodity contracts, and investments",57,1054815,466565,4.3,$1.05T gross output; $0.47T value added (BEA 2025),Capital Markets and Investment Management,"Access, Intake, and Contracting",Client Onboarding and KYC,Governance and Portfolio Operations,Portfolio and Order Management,Finance and Revenue Operations,Trade Execution and Settlement,"Risk, Compliance, and Reporting",Risk and Compliance Surveillance,Governance and Portfolio Operations,Investor Reporting and Performance,Client Onboarding and KYC | Portfolio and Order Management | Trade Execution and Settlement | Risk and Compliance Surveillance | Investor Reporting and Performance,"Access, Intake, and Contracting | Governance and Portfolio Operations | Finance and Revenue Operations | Risk, Compliance, and Reporting | Governance and Portfolio Operations",Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance,Complete,,"Transaction, custody, advisory, and asset-management fee model driven by AUM, trading volumes, spreads, and compliance.",Client onboarding/KYC | Portfolio and order management | Trade execution and settlement | Risk/compliance surveillance | Performance and investor reporting,Aladdin | Charles River | SimCorp | Bloomberg | SS&C Advent,"High in core front/middle/back-office platforms, with medium interoperability across custodians, admins, and analytics.",Fee compression; passive-product growth; market-structure complexity; surveillance/compliance load; demand for real-time reporting.,Manual reconciliation across custodians/admins; fragmented client data; exception-heavy compliance ops; spreadsheet shadow books.,High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.sec.gov/data-research/statistics-data-visualizations/registered-investment-companies-statistics | https://www.sec.gov/data-research/sec-markets-data/information-about-registered-investment-advisers-exempt-reporting-advisers,
16,Chemical products,32,1028861,577741,-0.1,$1.03T gross output; $0.58T value added (BEA 2025),Process Manufacturing and Throughput Control,Sourcing and Supply,Material Sourcing,Production and Asset Operations,Production Planning and Process Control,"Risk, Compliance, and Reporting","Quality, Safety, and Environmental Management",Delivery and Service Execution,Order Management and Fulfillment,Finance and Revenue Operations,Contract and Margin Management,"Material Sourcing | Production Planning and Process Control | Quality, Safety, and Environmental Management | Order Management and Fulfillment | Contract and Margin Management","Sourcing and Supply | Production and Asset Operations | Risk, Compliance, and Reporting | Delivery and Service Execution | Finance and Revenue Operations",ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management,Complete,,"Process manufacturing converting hydrocarbon/mineral feedstocks into bulk and specialty chemicals; economics hinge on capacity, safety, feedstock spread, and offtake reliability.",Feedstock procurement | Plant scheduling/process control | Quality/EHS management | Order fulfillment | Margin and contract management,SAP | Oracle | AspenTech | AVEVA | Emerson,"Medium-High: plant automation is strong, but enterprise planning and multi-site optimization are uneven.",Energy/feedstock volatility; emissions rules; geopolitical sourcing risk; customer destocking cycles; resilience requirements.,Siloed OT/IT data; manual planning overrides; maintenance downtime surprises; contract and margin leakage across SKUs/customers.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.eia.gov/energyexplained/use-of-energy/,
17,"Data processing, internet publishing, and other information services",53,986611,590506,17.9,$0.99T gross output; $0.59T value added (BEA 2025),Digital Platform and Subscription Operations,Planning and Allocation,Infrastructure Capacity Planning,"Product, Content, and Engineering",Product and Content Release Management,"Access, Intake, and Contracting",Customer Acquisition and Onboarding,Finance and Revenue Operations,Usage Billing and Monetization,"Risk, Compliance, and Reporting",Reliability and Security Operations,Infrastructure Capacity Planning | Product and Content Release Management | Customer Acquisition and Onboarding | Usage Billing and Monetization | Reliability and Security Operations,"Planning and Allocation | Product, Content, and Engineering | Access, Intake, and Contracting | Finance and Revenue Operations | Risk, Compliance, and Reporting",Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management,Complete,,"Compute, hosting, platform, data, and digital-media model monetized through subscriptions, usage, advertising, and enterprise contracts.",Infrastructure capacity planning | Product/content deployment | Customer acquisition and onboarding | Usage/billing | Reliability/security operations,AWS | Microsoft Azure | Google Cloud | Salesforce | ServiceNow,"High in core infrastructure, with medium fragmentation across billing, identity, analytics, and support layers.",AI compute demand; cloud margin pressure; regulatory scrutiny on data/platform power; cybersecurity risk; energy intensity.,Shadow spend across clouds/SaaS; weak unit-economics attribution by workload; fragmented identity and customer telemetry.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.ntia.gov/topics/data-central | https://help.bdc.fcc.gov/hc/en-us/articles/13532984820379-What-s-on-the-National-Broadband-Map | https://www.census.gov/programs-surveys/aies/about.html,
18,Broadcasting and telecommunications,52,939444,506426,6.8,$0.94T gross output; $0.51T value added (BEA 2025),Network Infrastructure Operations,Planning and Allocation,Network Planning and Capital Management,Network and Transportation Operations,Service Provisioning and Activation,Delivery and Service Execution,Content and Service Operations,Finance and Revenue Operations,Billing and Collections,"Risk, Compliance, and Reporting",Outage and Regulatory Management,Network Planning and Capital Management | Service Provisioning and Activation | Content and Service Operations | Billing and Collections | Outage and Regulatory Management,"Planning and Allocation | Network and Transportation Operations | Delivery and Service Execution | Finance and Revenue Operations | Risk, Compliance, and Reporting",Network OSS/BSS | Billing and Subscription Management | CRM,Complete,,"Capital-intensive network and content-distribution model monetized through subscriptions, advertising, carriage, and enterprise connectivity.",Network planning and capex | Provisioning/service delivery | Content/programming operations | Billing and collections | Outage/compliance management,Amdocs | Oracle Communications | Netcracker | Ericsson | Nokia,"Medium-High: OSS/BSS stacks are established, but modernization and cross-network visibility remain difficult.",Broadband competition; spectrum/capex demands; streaming substitution; regulatory obligations; uptime expectations.,Legacy OSS/BSS duplication; order fallout between sales and provisioning; slow field dispatch; fragmented customer views.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://help.bdc.fcc.gov/hc/en-us/articles/13532984820379-What-s-on-the-National-Broadband-Map | https://www.ntia.gov/topics/data-central,
19,Management of companies and enterprises,70,928032,576771,-1.1,$0.93T gross output; $0.58T value added (BEA 2025),Enterprise Governance and Shared Services,Governance and Portfolio Operations,Capital Allocation and Planning,Governance and Portfolio Operations,Financial Consolidation,Governance and Portfolio Operations,Governance and Risk Review,Governance and Portfolio Operations,Shared Service Operations,Governance and Portfolio Operations,Performance Management,Capital Allocation and Planning | Financial Consolidation | Governance and Risk Review | Shared Service Operations | Performance Management,Governance and Portfolio Operations | Governance and Portfolio Operations | Governance and Portfolio Operations | Governance and Portfolio Operations | Governance and Portfolio Operations,EPM and Financial Consolidation | ERP | HCM / Workforce Management | Service Management,Complete,,"Centralized corporate-oversight model allocating capital, governance, talent, policy, and shared services across subsidiaries.",Capital allocation and planning | Financial consolidation | Governance/risk review | Shared-service operations | Performance management,Workday | Oracle EPM | SAP | Anaplan | ServiceNow,"Medium-High: consolidation/planning tools are mature, but decision workflows often still rely on decks, email, and spreadsheet cycles.",Portfolio complexity; activist/board scrutiny; rising compliance burden; shared-service efficiency pressure; cyber/governance exposure.,Slow close and forecast cycles; multiple versions of truth across subsidiaries; manual board/reporting assembly.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/programs-surveys/aies/about.html | https://www.census.gov/programs-surveys/sas/about.html,
20,Computer systems design and related services,68,779478,553797,13.1,$0.78T gross output; $0.55T value added (BEA 2025),Professional Services and Matter Management,"Access, Intake, and Contracting",Lead and Proposal Management,Workforce and Labor Operations,Staffing and Capacity Planning,Delivery and Service Execution,Project Delivery,Finance and Revenue Operations,Time and Expense Capture,Customer and Experience Operations,Renewal and Account Expansion,Lead and Proposal Management | Staffing and Capacity Planning | Project Delivery | Time and Expense Capture | Renewal and Account Expansion,"Access, Intake, and Contracting | Workforce and Labor Operations | Delivery and Service Execution | Finance and Revenue Operations | Customer and Experience Operations",CRM | HCM / Workforce Management | Professional Services Automation | Service Management,Complete,,"Project and managed-services model for IT integration, engineering, and implementation work; economics rely on utilization, bill rates, renewals, and reusable IP.",Pipeline/proposal management | Resource staffing | Delivery/project management | Time and expense capture | Renewal and account expansion,Salesforce | Workday | ServiceNow | Jira | Deltek,"Medium-High: delivery tooling is good, but staffing, margin visibility, and knowledge reuse often lag.",Client cloud/AI transformation demand; offshore competition; utilization pressure; talent cost inflation; outcome-based contracting.,Poor bench visibility; handoff gaps from sales to delivery; manual margin reconciliation; repeated solution design work.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/programs-surveys/aies/about.html | https://www.census.gov/programs-surveys/sas/about.html,
21,"Motor vehicles, bodies and trailers, and parts",21,774687,183970,9.3,$0.77T gross output; $0.18T value added (BEA 2025),Product Manufacturing and Lifecycle Operations,Planning and Allocation,Program and Platform Planning,Sourcing and Supply,Supplier Scheduling and Procurement,Production and Asset Operations,Shop Floor Execution and Quality Management,Delivery and Service Execution,Logistics and Channel Fulfillment,Customer and Experience Operations,Aftermarket Service and Field Support,Program and Platform Planning | Supplier Scheduling and Procurement | Shop Floor Execution and Quality Management | Logistics and Channel Fulfillment | Aftermarket Service and Field Support,Planning and Allocation | Sourcing and Supply | Production and Asset Operations | Delivery and Service Execution | Customer and Experience Operations,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning,Complete,,"Discrete manufacturing and supply-chain orchestration around vehicle platforms, component quality, dealer delivery, and aftersales service.",Platform/program planning | Supplier scheduling and procurement | Plant execution and quality | Logistics to dealers/OEMs | Warranty/service feedback loops,SAP | Oracle | Siemens Teamcenter | Dassault 3DEXPERIENCE | Plex,"Medium-High: engineering and plant systems are mature, but tiered supplier coordination remains complex.",EV transition; battery/localization demands; supplier fragility; warranty quality pressure; cyclic end demand.,Tier-n visibility gaps; change-management friction across PLM/ERP/MES; quality data silos; inventory buffers hiding planning errors.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/topics/business-economy/manufacturing/data/annual-data.html | https://www.census.gov/programs-surveys/aies/about.html,
22,"Publishing industries, except internet (includes software)",50,723067,479094,20.3,$0.72T gross output; $0.48T value added (BEA 2025),"IP, Subscription, and Rights Management","Product, Content, and Engineering",Product and Content Development,Finance and Revenue Operations,Subscription and License Management,"Product, Content, and Engineering",Distribution and Release Management,Customer and Experience Operations,Customer Support and Success,Finance and Revenue Operations,Billing and Renewals,Product and Content Development | Subscription and License Management | Distribution and Release Management | Customer Support and Success | Billing and Renewals,"Product, Content, and Engineering | Finance and Revenue Operations | Product, Content, and Engineering | Customer and Experience Operations | Finance and Revenue Operations",CRM | Billing and Subscription Management | ERP | Service Management,Complete,,"IP and subscription/licensing model across software, professional information, books, and periodicals; economics driven by recurring revenue, retention, and rights leverage.",Product/content development | Licensing/subscription management | Release/distribution | Customer support and success | Billing and renewals,Salesforce | Zuora | NetSuite | Adobe Experience Cloud | Atlassian,"High in product and billing layers, medium in cross-functional revenue intelligence and entitlement management.",Platform/channel dependence; AI search disruption; piracy/IP protection; bundle competition; renewal pressure.,Fragmented entitlement data; weak usage-to-renewal visibility; manual contract exceptions; siloed product/support telemetry.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/programs-surveys/aies/about.html | https://www.ntia.gov/topics/data-central,
23,Rental and leasing services and lessors of intangible assets,64,699872,384338,-1.8,$0.70T gross output; $0.38T value added (BEA 2025),Asset Utilization and Lease Management,Planning and Allocation,Asset Acquisition and Setup,"Access, Intake, and Contracting",Reservation and Contract Management,Delivery and Service Execution,Dispatch and Checkout,Production and Asset Operations,Asset Maintenance and Turnover,Finance and Revenue Operations,Billing and Asset Recovery,Asset Acquisition and Setup | Reservation and Contract Management | Dispatch and Checkout | Asset Maintenance and Turnover | Billing and Asset Recovery,"Planning and Allocation | Access, Intake, and Contracting | Delivery and Service Execution | Production and Asset Operations | Finance and Revenue Operations",Rental Operations Management | Maintenance Management | ERP,Complete,,"Asset-rental and rights-licensing model monetizing utilization, term yield, maintenance, and contract discipline across fleets, equipment, venues, and IP.",Asset acquisition and setup | Reservation/contracting | Dispatch/checkout | Maintenance/turnover | Billing and asset recovery,Oracle | SAP | AssetWorks | LeaseQuery | NetSuite,"Medium: core asset/accounting tools are mature, but utilization optimization and field-service integration are uneven.",Capex and financing costs; utilization pressure; theft/loss risk; contract complexity; lifecycle maintenance costs.,Low asset visibility; manual contract changes; disconnected maintenance and billing; residual-value leakage.,Medium,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/programs-surveys/aies/about.html | https://www.census.gov/programs-surveys/sas/about.html,
24,Utilities,10,691040,471246,-0.9,$0.69T gross output; $0.47T value added (BEA 2025),Network Infrastructure Operations,Network and Transportation Operations,Load Forecasting and Dispatch,Production and Asset Operations,Asset Maintenance and Outage Management,Finance and Revenue Operations,Meter-to-Cash,Governance and Portfolio Operations,Capital Planning and Compliance Reporting,Customer and Experience Operations,Customer Service and Field Response,Load Forecasting and Dispatch | Asset Maintenance and Outage Management | Meter-to-Cash | Capital Planning and Compliance Reporting | Customer Service and Field Response,Network and Transportation Operations | Production and Asset Operations | Finance and Revenue Operations | Governance and Portfolio Operations | Customer and Experience Operations,Utility Operations and Billing | Maintenance Management | Industrial Automation and SCADA | ERP,Complete,,"Regulated network-utility model monetizing generation/procurement, transmission, distribution, and service reliability.",Load forecasting and dispatch | Asset maintenance/outage management | Meter-to-cash | Capital planning and regulatory reporting | Customer service and field response,Oracle Utilities | SAP | Siemens | GE Vernova | Schneider Electric,"Medium-High: core grid and billing systems are mature, but distributed-energy orchestration and data integration remain difficult.",Grid hardening; electrification load growth; wildfire/weather risk; rate-case scrutiny; distributed energy integration.,Aging asset data; manual outage workflows; billing exceptions; limited end-to-end visibility from field devices to customer systems.,High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.eia.gov/energyexplained/electricity/use-of-electricity.php | https://www.eia.gov/energyexplained/electricity/delivery-to-consumers.php,
25,Petroleum and coal products,31,589695,161002,7.3,$0.59T gross output; $0.16T value added (BEA 2025),Process Manufacturing and Throughput Control,Sourcing and Supply,Material Sourcing,Production and Asset Operations,Production Planning and Process Control,Production and Asset Operations,Maintenance and Turnaround Management,Delivery and Service Execution,"Blending, Logistics, and Distribution","Risk, Compliance, and Reporting","Margin, Safety, and Emissions Reporting","Material Sourcing | Production Planning and Process Control | Maintenance and Turnaround Management | Blending, Logistics, and Distribution | Margin, Safety, and Emissions Reporting","Sourcing and Supply | Production and Asset Operations | Production and Asset Operations | Delivery and Service Execution | Risk, Compliance, and Reporting",ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning,Complete,,"Refining and processing model converting crude/feedstocks into fuels and industrial products; economics depend on crack spreads, throughput, reliability, and compliance.","Feedstock sourcing | Refinery planning and process control | Maintenance/turnarounds | Product blending/logistics | Margin, safety, and emissions reporting",SAP | AspenTech | AVEVA | Honeywell | Emerson,"Medium-High: process control is mature, but margin optimization and cross-site data flow remain challenging.",Energy transition; emissions rules; feedstock spread volatility; turnaround risk; geopolitical supply shocks.,"OT/IT silos; complex planning spreadsheets; maintenance surprises; slow reconciliation of yields, losses, and product margins.",High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.eia.gov/energyexplained/oil-and-petroleum-products/refining-crude-oil-the-refining-process.php | https://www.eia.gov/petroleum/refinerycapacity/index.php,
26,Farms,4,575221,220747,-1.9,$0.58T gross output; $0.22T value added (BEA 2025),Field Production and Resource Extraction,Planning and Allocation,Production Planning,Sourcing and Supply,Input Sourcing and Procurement,Production and Asset Operations,Field Operations,Delivery and Service Execution,Harvest and Logistics Management,Finance and Revenue Operations,"Marketing, Hedging, and Program Reporting","Production Planning | Input Sourcing and Procurement | Field Operations | Harvest and Logistics Management | Marketing, Hedging, and Program Reporting",Planning and Allocation | Sourcing and Supply | Production and Asset Operations | Delivery and Service Execution | Finance and Revenue Operations,Farm Management Platform | Precision Agriculture and Telematics,Complete,,"Commodity production model converting land, labor, feed, fertilizer, and equipment into crop/livestock output under weather and price risk.",Planting/breeding planning | Input procurement | Field/livestock operations | Harvest/feed logistics | Marketing/hedging and program reporting,John Deere Operations Center | Climate FieldView | Granular | AgLeader | Trimble Agriculture,"Medium: precision tools are improving, but broad farm digitization is still fragmented by crop, farm size, and connectivity.",Weather volatility; input costs; trade/tariff shifts; labor scarcity; financing and insurance pressure.,"Disconnected agronomic, financial, and equipment data; manual compliance reporting; weak cost-to-field attribution.",High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.ers.usda.gov/data-products/ag-and-food-statistics-charting-the-essentials/ag-and-food-sectors-and-the-economy | https://www.ers.usda.gov/data-products/ag-and-food-statistics-charting-the-essentials/farming-and-farm-income,
27,Motor vehicle and parts dealers,36,573349,371676,11.3,$0.57T gross output; $0.37T value added (BEA 2025),Retail and Service Commerce,Planning and Allocation,Inventory Sourcing and Aging Management,"Access, Intake, and Contracting",Lead Management and Sales,Finance and Revenue Operations,Financing and Underwriting,Customer and Experience Operations,Service Scheduling and Parts Management,Customer and Experience Operations,Customer Retention and Remarketing,Inventory Sourcing and Aging Management | Lead Management and Sales | Financing and Underwriting | Service Scheduling and Parts Management | Customer Retention and Remarketing,"Planning and Allocation | Access, Intake, and Contracting | Finance and Revenue Operations | Customer and Experience Operations | Customer and Experience Operations",Dealership Management System | CRM | Loan Origination and Servicing | Maintenance Management,Complete,,"Inventory-backed retail and service model monetizing vehicle sales, F&I, parts, and aftersales service.",Inventory sourcing/aging management | Lead handling and sales | F&I underwriting | Service scheduling and parts | Customer retention and remarketing,CDK Global | Reynolds and Reynolds | Cox Automotive | Dealertrack | Tekion,"Medium-High: DMS stacks are mature, but retailing, service, and OEM data remain fractured.",OEM inventory normalization; EV service transition; interest-rate sensitivity; F&I scrutiny; used-vehicle price volatility.,Lead leakage across CRM/DMS; service-lane bottlenecks; parts obsolescence; manual document workflows.,Medium-High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.census.gov/retail/mrts/about_the_surveys.html,
28,Truck transportation,44,541394,262528,3.6,$0.54T gross output; $0.26T value added (BEA 2025),Transportation Network Operations,Network and Transportation Operations,Capacity and Load Planning,Network and Transportation Operations,Dispatch and Routing,"Risk, Compliance, and Reporting",Driver Safety and Compliance,Network and Transportation Operations,In-Transit Visibility and Proof of Delivery,Finance and Revenue Operations,Freight Audit and Billing,Capacity and Load Planning | Dispatch and Routing | Driver Safety and Compliance | In-Transit Visibility and Proof of Delivery | Freight Audit and Billing,"Network and Transportation Operations | Network and Transportation Operations | Risk, Compliance, and Reporting | Network and Transportation Operations | Finance and Revenue Operations",Transportation Management System | Fleet Telematics and Visibility | ERP,Complete,,"Asset- and labor-intensive linehaul model monetizing capacity, route density, trailer turns, and fuel recovery.",Load planning | Dispatch and routing | Driver compliance | Tracking/proof-of-delivery | Freight audit and billing,Samsara | Trimble Transportation | McLeod | Descartes | Oracle Transportation Management,"Medium-High: telematics and TMS adoption are strong, but broker-carrier-shipper coordination is still fragmented.",Freight-rate cycles; driver shortages; insurance costs; fuel volatility; shipper visibility expectations.,Empty miles; manual appointment changes; detention disputes; fragmented carrier/broker communications; slow cash application.,High,https://apps.bea.gov/industry/Release/XLS/GDPxInd/GrossOutput.xlsx | https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx | https://www.bea.gov/data/gdp/gdp-industry | https://www.bts.gov/topics/transportation-and-economy | https://data.bts.gov/Research-and-Statistics/Transportation-Economic-Trends-TET-data/tcq5-4pgu,
