workflow_name,workflow_family,operating_systems,industries_using_this_workflow,industry_count,primary_structural_failure_code,primary_structural_failure_name,secondary_structural_failure_codes,secondary_structural_failure_names,all_selected_failure_codes,all_selected_failure_names,selected_failure_score_breakdown,full_score_breakdown,dominant_root_cause,economic_leakage_summary,time_leakage_summary,human_judgment_summary,system_of_record_escape_summary,why_it_persists_summary,workflow_document
Asset Maintenance and Uptime Management,Production and Asset Operations,Process Manufacturing and Throughput Control,Primary metals | Paper products,2,SF-04,Human Judgment Under Incomplete Information,SF-06 | SF-03,Plan vs. Reality Divergence | Decision Context Escapes the Record,SF-04 | SF-06 | SF-03,Human Judgment Under Incomplete Information | Plan vs. Reality Divergence | Decision Context Escapes the Record,SF-04:14.0 | SF-06:13.0 | SF-03:8.0,SF-04:14.0 | SF-06:13.0 | SF-03:8.0 | SF-02:1.0,Legacy Architecture,"Leakage comes from downtime, repeat failures, poor work scope, and weak turnover discipline.","Teams chase parts, permits, technician availability, and asset-history context.","Maintenance leaders still assess condition, risk, and repair tradeoffs beyond simple rules.","Readiness and outage details are frequently tracked in calls, notes, and local sheets outside the CMMS.","Maintenance systems track work orders, but true readiness still depends on fragmented context and field judgment. It typically spans 1 operating-system context and 5 systems-of-record categories.",knowledge/research/workflow-library/workflows/asset-maintenance-and-uptime-management.md
Asset Maintenance and Work Orders,Production and Asset Operations,Asset Utilization and Lease Management,Housing | Other real estate,2,SF-04,Human Judgment Under Incomplete Information,SF-06 | SF-03,Plan vs. Reality Divergence | Decision Context Escapes the Record,SF-04 | SF-06 | SF-03,Human Judgment Under Incomplete Information | Plan vs. Reality Divergence | Decision Context Escapes the Record,SF-04:14.0 | SF-06:13.0 | SF-03:8.0,SF-04:14.0 | SF-06:13.0 | SF-03:8.0 | SF-02:1.0,Legacy Architecture,"Leakage comes from downtime, repeat failures, poor work scope, and weak turnover discipline.","Teams chase parts, permits, technician availability, and asset-history context.","Maintenance leaders still assess condition, risk, and repair tradeoffs beyond simple rules.","Readiness and outage details are frequently tracked in calls, notes, and local sheets outside the CMMS.","Maintenance systems track work orders, but true readiness still depends on fragmented context and field judgment. It typically spans 1 operating-system context and 5 systems-of-record categories.",knowledge/research/workflow-library/workflows/asset-maintenance-and-work-orders.md
Asset and Investor Reporting,Governance and Portfolio Operations,Asset Utilization and Lease Management,Other real estate,1,SF-02,Cross-System Reconciliation,SF-03 | SF-04,Decision Context Escapes the Record | Human Judgment Under Incomplete Information,SF-02 | SF-03 | SF-04,Cross-System Reconciliation | Decision Context Escapes the Record | Human Judgment Under Incomplete Information,SF-02:13.0 | SF-03:11.0 | SF-04:9.0,SF-02:13.0 | SF-03:11.0 | SF-04:9.0 | SF-08:8.5 | SF-01:6.0 | SF-05:4.0 | SF-06:1.0,Technical,"Leakage comes from stale positions, NAV breaks, manual reporting overhead, and slow exception closure.","Teams reconcile books and records repeatedly across portfolio, accounting, and investor-reporting systems.","Materiality, valuation challenge, and client communication still depend on experienced professionals.","Exception narratives and investor context move through emails, memos, and spreadsheet bridges.",Even sophisticated platforms still depend on cross-book reconciliation and human review to maintain trust. It typically spans 1 operating-system context and 4 systems-of-record categories.,knowledge/research/workflow-library/workflows/asset-and-investor-reporting.md
Asset and Reserve Evaluation,Planning and Allocation,Field Production and Resource Extraction,Oil and gas extraction,1,SF-04,Human Judgment Under Incomplete Information,SF-06 | SF-08,Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps,SF-04 | SF-06 | SF-08,Human Judgment Under Incomplete Information | Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps,SF-04:21.5 | SF-06:13.0 | SF-08:8.0,SF-04:21.5 | SF-06:13.0 | SF-08:8.0 | SF-03:6.0 | SF-05:3.0 | SF-01:2.0,Technical,"Forecast error and poor allocation create excess cost, missed revenue, and avoidable firefighting.",Planning teams spend time rebuilding assumptions and chasing sign-off across functions.,Planners still decide which signals to trust and when the model output does not fit local reality.,"Scenario analysis and negotiation happen in spreadsheets, slides, and side conversations.","The hard problem is not math alone; it is aligning noisy signals, local constraints, and organizational trust. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/asset-and-reserve-evaluation.md
Billing and Asset Recovery,Finance and Revenue Operations,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,1,SF-01,Exception-Path Breakdown,SF-03 | SF-02,Decision Context Escapes the Record | Cross-System Reconciliation,SF-01 | SF-03 | SF-02,Exception-Path Breakdown | Decision Context Escapes the Record | Cross-System Reconciliation,SF-01:20.5 | SF-03:14.0 | SF-02:10.0,SF-01:20.5 | SF-03:14.0 | SF-02:10.0 | SF-08:9.0 | SF-04:6.0 | SF-07:5.0,Legacy Architecture,"Missed charges, denial cycles, underbilling, and slow cash application are the primary leakage points.","Teams repeatedly reconcile source evidence, payer rules, and customer-specific exceptions.","Operators interpret contract nuance, collection strategy, and what evidence is enough to close the item.","Collections context and exception history often live in email, payer portals, and spreadsheets outside the core system.","Automation handles the clean path, but exceptions are driven by messy upstream data and contract interpretation. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/billing-and-asset-recovery.md
Billing and Collections,Finance and Revenue Operations,Distribution and Trade Operations | Network Infrastructure Operations | Professional Services and Matter Management,"Wholesale trade | Miscellaneous professional, scientific, and technical services | Broadcasting and telecommunications",3,SF-01,Exception-Path Breakdown,SF-03 | SF-02,Decision Context Escapes the Record | Cross-System Reconciliation,SF-01 | SF-03 | SF-02,Exception-Path Breakdown | Decision Context Escapes the Record | Cross-System Reconciliation,SF-01:20.5 | SF-03:14.0 | SF-02:10.0,SF-01:20.5 | SF-03:14.0 | SF-02:10.0 | SF-08:9.0 | SF-04:6.0 | SF-07:5.0,Legacy Architecture,"Missed charges, denial cycles, underbilling, and slow cash application are the primary leakage points.","Teams repeatedly reconcile source evidence, payer rules, and customer-specific exceptions.","Operators interpret contract nuance, collection strategy, and what evidence is enough to close the item.","Collections context and exception history often live in email, payer portals, and spreadsheets outside the core system.","Automation handles the clean path, but exceptions are driven by messy upstream data and contract interpretation. It typically spans 3 operating-system contexts and 9 systems-of-record categories.",knowledge/research/workflow-library/workflows/billing-and-collections.md
Billing and Payment Processing,Finance and Revenue Operations,Workforce Coordination and Service Operations,"Other services, except government",1,SF-01,Exception-Path Breakdown,SF-03 | SF-02,Decision Context Escapes the Record | Cross-System Reconciliation,SF-01 | SF-03 | SF-02,Exception-Path Breakdown | Decision Context Escapes the Record | Cross-System Reconciliation,SF-01:20.5 | SF-03:14.0 | SF-02:10.0,SF-01:20.5 | SF-03:14.0 | SF-02:10.0 | SF-08:9.0 | SF-04:6.0 | SF-07:5.0,Legacy Architecture,"Missed charges, denial cycles, underbilling, and slow cash application are the primary leakage points.","Teams repeatedly reconcile source evidence, payer rules, and customer-specific exceptions.","Operators interpret contract nuance, collection strategy, and what evidence is enough to close the item.","Collections context and exception history often live in email, payer portals, and spreadsheets outside the core system.","Automation handles the clean path, but exceptions are driven by messy upstream data and contract interpretation. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/billing-and-payment-processing.md
Billing and Reconciliation,Finance and Revenue Operations,Asset Utilization and Lease Management,Other real estate,1,SF-02,Cross-System Reconciliation,SF-01 | SF-03,Exception-Path Breakdown | Decision Context Escapes the Record,SF-02 | SF-01 | SF-03,Cross-System Reconciliation | Exception-Path Breakdown | Decision Context Escapes the Record,SF-02:23.5 | SF-01:16.0 | SF-03:14.0,SF-02:23.5 | SF-01:16.0 | SF-03:14.0 | SF-04:11.0 | SF-08:4.0 | SF-07:2.0,Legacy Architecture,"Unmatched items, late close, duplicate settlements, and poor exception control create hidden leakage and working-capital drag.","Analysts spend time matching records manually, collecting support, and rebuilding audit trails.","Materiality, root cause, and acceptable resolution still depend on experienced finance staff.","Exception triage almost always moves into spreadsheets, email, and bank or partner portals.",Reconciliation spans asynchronous systems and low-standardization edge cases that resist full automation. It typically spans 1 operating-system context and 4 systems-of-record categories.,knowledge/research/workflow-library/workflows/billing-and-reconciliation.md
Billing and Renewals,Finance and Revenue Operations,"IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",1,SF-01,Exception-Path Breakdown,SF-03 | SF-02,Decision Context Escapes the Record | Cross-System Reconciliation,SF-01 | SF-03 | SF-02,Exception-Path Breakdown | Decision Context Escapes the Record | Cross-System Reconciliation,SF-01:21.0 | SF-03:8.0 | SF-02:6.0,SF-01:21.0 | SF-03:8.0 | SF-02:6.0 | SF-04:3.0,Legacy Architecture,"Leakage comes from usage mismatch, wrong entitlements, stale contract data, and manual credits.","Teams spend time reconciling subscription state across CRM, billing, and service systems.","Operators still decide how to resolve exceptions, bundle edge cases, and preserve the relationship during disputes.","Important contract and exception context lives in tickets, email, and account notes outside the billing platform.","Recurring billing is structurally automatable, but entitlement logic and exception-heavy account transitions remain messy. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/billing-and-renewals.md
"Billing, Aid, and Regulatory Reporting",Finance and Revenue Operations,Education Delivery and Administration,Educational services,1,SF-07,Compliance and Evidence Burden,SF-03 | SF-02,Decision Context Escapes the Record | Cross-System Reconciliation,SF-07 | SF-03 | SF-02,Compliance and Evidence Burden | Decision Context Escapes the Record | Cross-System Reconciliation,SF-07:21.0 | SF-03:13.0 | SF-02:10.0,SF-07:21.0 | SF-03:13.0 | SF-02:10.0 | SF-01:9.0 | SF-04:3.0 | SF-08:1.5,Regulatory,"Late or weak reporting creates fines, reserve exposure, rework, and management blind spots.","Teams manually stitch files, request attestations, and chase evidence for every cycle.","Control owners still decide what is material, what is remediated, and what can be tolerated temporarily.","Supporting evidence sits in attachments, spreadsheets, emails, and external filing systems.","The form of the report may be standardized, but the data lineage and exception handling still are not. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/billing-aid-and-regulatory-reporting.md
"Billing, Claims, and Collections",Finance and Revenue Operations,Care Delivery and Reimbursement,Ambulatory health care services | Hospitals | Nursing and residential care facilities,3,SF-03,Decision Context Escapes the Record,SF-04 | SF-07,Human Judgment Under Incomplete Information | Compliance and Evidence Burden,SF-03 | SF-04 | SF-07,Decision Context Escapes the Record | Human Judgment Under Incomplete Information | Compliance and Evidence Burden,SF-03:13.0 | SF-04:9.0 | SF-07:8.5,SF-03:13.0 | SF-04:9.0 | SF-07:8.5 | SF-02:8.0 | SF-08:8.0 | SF-01:5.0,Regulatory,"Leakage comes from denials, undercoding, reserve drift, slow cycle times, and missed recovery opportunities.","Teams rework submissions, chase evidence, and manage payer or carrier correspondence repeatedly.","Experienced staff interpret coverage, coding, severity, and the most effective appeal or settlement path.","Supporting evidence and negotiation history live in portals, attachments, calls, and external correspondence.","The workflow is document-heavy, regulated, and exception-driven, with too much nuance for complete straight-through adjudication. It typically spans 1 operating-system context and 5 systems-of-record categories.",knowledge/research/workflow-library/workflows/billing-claims-and-collections.md
"Billing, Collections, and Cash Application",Finance and Revenue Operations,Asset Utilization and Lease Management,Housing,1,SF-02,Cross-System Reconciliation,SF-01 | SF-03,Exception-Path Breakdown | Decision Context Escapes the Record,SF-02 | SF-01 | SF-03,Cross-System Reconciliation | Exception-Path Breakdown | Decision Context Escapes the Record,SF-02:23.5 | SF-01:16.0 | SF-03:14.0,SF-02:23.5 | SF-01:16.0 | SF-03:14.0 | SF-04:11.0 | SF-08:4.0 | SF-07:2.0,Legacy Architecture,"Unmatched items, late close, duplicate settlements, and poor exception control create hidden leakage and working-capital drag.","Analysts spend time matching records manually, collecting support, and rebuilding audit trails.","Materiality, root cause, and acceptable resolution still depend on experienced finance staff.","Exception triage almost always moves into spreadsheets, email, and bank or partner portals.",Reconciliation spans asynchronous systems and low-standardization edge cases that resist full automation. It typically spans 1 operating-system context and 3 systems-of-record categories.,knowledge/research/workflow-library/workflows/billing-collections-and-cash-application.md
"Billing, Grant Reporting, and Reimbursement",Finance and Revenue Operations,Case Management and Program Administration,Social assistance,1,SF-03,Decision Context Escapes the Record,SF-04 | SF-07,Human Judgment Under Incomplete Information | Compliance and Evidence Burden,SF-03 | SF-04 | SF-07,Decision Context Escapes the Record | Human Judgment Under Incomplete Information | Compliance and Evidence Burden,SF-03:13.0 | SF-04:9.0 | SF-07:8.5,SF-03:13.0 | SF-04:9.0 | SF-07:8.5 | SF-02:8.0 | SF-08:8.0 | SF-01:5.0,Regulatory,"Leakage comes from denials, undercoding, reserve drift, slow cycle times, and missed recovery opportunities.","Teams rework submissions, chase evidence, and manage payer or carrier correspondence repeatedly.","Experienced staff interpret coverage, coding, severity, and the most effective appeal or settlement path.","Supporting evidence and negotiation history live in portals, attachments, calls, and external correspondence.","The workflow is document-heavy, regulated, and exception-driven, with too much nuance for complete straight-through adjudication. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/billing-grant-reporting-and-reimbursement.md
"Blending, Logistics, and Distribution",Delivery and Service Execution,Process Manufacturing and Throughput Control,Petroleum and coal products,1,SF-01,Exception-Path Breakdown,SF-03 | SF-06,Decision Context Escapes the Record | Plan vs. Reality Divergence,SF-01 | SF-03 | SF-06,Exception-Path Breakdown | Decision Context Escapes the Record | Plan vs. Reality Divergence,SF-01:14.0 | SF-03:11.0 | SF-06:6.0,SF-01:14.0 | SF-03:11.0 | SF-06:6.0 | SF-04:3.0 | SF-02:1.0 | SF-05:1.0,Legacy Architecture,"Leakage shows up in split orders, mispicks, returns, expedites, and fulfillment promises that outrun actual capacity.","Teams chase inventory truth, release status, and downstream transport updates across systems.","Operators still decide how to recover shortages, prioritize customers, and manage substitutions.","Exception handling often happens through email, calls, and local trackers outside the formal order flow.","Order orchestration spans inventory, warehouse, transport, and customer systems with different clocks and constraints. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/blending-logistics-and-distribution.md
Capacity and Event Planning,Planning and Allocation,"Venue, Hospitality, and Attendance Operations","Amusements, gambling, and recreation industries",1,SF-04,Human Judgment Under Incomplete Information,SF-06 | SF-08,Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps,SF-04 | SF-06 | SF-08,Human Judgment Under Incomplete Information | Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps,SF-04:21.5 | SF-06:13.0 | SF-08:8.0,SF-04:21.5 | SF-06:13.0 | SF-08:8.0 | SF-03:6.0 | SF-05:3.0 | SF-01:2.0,Technical,"Forecast error and poor allocation create excess cost, missed revenue, and avoidable firefighting.",Planning teams spend time rebuilding assumptions and chasing sign-off across functions.,Planners still decide which signals to trust and when the model output does not fit local reality.,"Scenario analysis and negotiation happen in spreadsheets, slides, and side conversations.","The hard problem is not math alone; it is aligning noisy signals, local constraints, and organizational trust. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/capacity-and-event-planning.md
Capacity and Load Planning,Network and Transportation Operations,Transportation Network Operations,Truck transportation,1,SF-06,Plan vs. Reality Divergence,SF-08 | SF-03,Multi-Party Trust and Dependency Gaps | Decision Context Escapes the Record,SF-06 | SF-08 | SF-03,Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps | Decision Context Escapes the Record,SF-06:18.0 | SF-08:13.5 | SF-03:6.0,SF-06:18.0 | SF-08:13.5 | SF-03:6.0 | SF-04:5.0 | SF-01:1.0 | SF-05:1.0,Technical,"The biggest leaks are empty capacity, bad routing, detention, and poor network utilization.","Dispatchers lose time chasing status, making call-based updates, and rerouting around late disruptions.",Controllers interpret service priorities and real-world constraints faster than static optimization models.,"Carrier calls, texts, and manual route notes remain central to live execution.","Network state changes in real time and often depends on partner data that is late, partial, or nonstandard. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/capacity-and-load-planning.md
Capital Allocation and Planning,Governance and Portfolio Operations,Enterprise Governance and Shared Services,Management of companies and enterprises,1,SF-05,Handoff and Approval Latency,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-05 | SF-04 | SF-03,Handoff and Approval Latency | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-05:16.0 | SF-04:9.0 | SF-03:8.0,SF-05:16.0 | SF-04:9.0 | SF-03:8.0 | SF-08:3.0 | SF-02:1.0,Organizational,Capital and support resources drift into low-return uses when performance signals are late or noisy.,Review cycles are slowed by manual aggregation and commentary collection.,"Leadership still decides tradeoffs among long-term return, local politics, and near-term operational reality.",Most decisive discussion happens in decks and meetings rather than the planning system itself.,Shared-service and capital decisions remain cross-functional and politically negotiated rather than purely model-driven. It typically spans 1 operating-system context and 4 systems-of-record categories.,knowledge/research/workflow-library/workflows/capital-allocation-and-planning.md
Capital Planning and Compliance Reporting,Governance and Portfolio Operations,Asset Utilization and Lease Management | Network Infrastructure Operations,Housing | Other real estate | Utilities,3,SF-05,Handoff and Approval Latency,SF-03 | SF-04,Decision Context Escapes the Record | Human Judgment Under Incomplete Information,SF-05 | SF-03 | SF-04,Handoff and Approval Latency | Decision Context Escapes the Record | Human Judgment Under Incomplete Information,SF-05:15.0 | SF-03:9.0 | SF-04:9.0,SF-05:15.0 | SF-03:9.0 | SF-04:9.0 | SF-02:2.0 | SF-08:2.0,Legacy Architecture,Capital and support resources drift into low-return uses when performance signals are late or noisy.,Review cycles are slowed by manual aggregation and commentary collection.,"Leadership still decides tradeoffs among long-term return, local politics, and near-term operational reality.",Most decisive discussion happens in decks and meetings rather than the planning system itself.,Shared-service and capital decisions remain cross-functional and politically negotiated rather than purely model-driven. It typically spans 2 operating-system contexts and 8 systems-of-record categories.,knowledge/research/workflow-library/workflows/capital-planning-and-compliance-reporting.md
