failure_code,failure_name,assignment_role,failure_score,workflow_name,workflow_family,canonical_operating_system,industry_name,industry_rank_2025_gross_output,dominant_root_cause,systems_of_record_categories,workflow_document
SF-04,Human Judgment Under Incomplete Information,Secondary,19.5,Account and Loan Onboarding,"Access, Intake, and Contracting","Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Regulatory,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM,knowledge/research/workflow-library/workflows/account-and-loan-onboarding.md
SF-03,Decision Context Escapes the Record,Secondary,17.5,Account and Loan Onboarding,"Access, Intake, and Contracting","Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Regulatory,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM,knowledge/research/workflow-library/workflows/account-and-loan-onboarding.md
SF-03,Decision Context Escapes the Record,Primary,15.0,Admissions and Enrollment,"Access, Intake, and Contracting",Education Delivery and Administration,Educational services,30,Organizational,Student Information System | Learning Management System | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/admissions-and-enrollment.md
SF-01,Exception-Path Breakdown,Secondary,13.0,Admissions and Enrollment,"Access, Intake, and Contracting",Education Delivery and Administration,Educational services,30,Organizational,Student Information System | Learning Management System | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/admissions-and-enrollment.md
SF-05,Handoff and Approval Latency,Secondary,8.0,Admissions and Enrollment,"Access, Intake, and Contracting",Education Delivery and Administration,Educational services,30,Organizational,Student Information System | Learning Management System | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/admissions-and-enrollment.md
SF-04,Human Judgment Under Incomplete Information,Primary,16.0,Aftermarket Service and Field Support,Customer and Experience Operations,Product Manufacturing and Lifecycle Operations,Machinery,33,Legacy Architecture,ERP | PLM and Engineering Design | Manufacturing Execution System | Maintenance Management,knowledge/research/workflow-library/workflows/aftermarket-service-and-field-support.md
SF-01,Exception-Path Breakdown,Secondary,14.0,Aftermarket Service and Field Support,Customer and Experience Operations,Product Manufacturing and Lifecycle Operations,Machinery,33,Legacy Architecture,ERP | PLM and Engineering Design | Manufacturing Execution System | Maintenance Management,knowledge/research/workflow-library/workflows/aftermarket-service-and-field-support.md
SF-03,Decision Context Escapes the Record,Secondary,9.0,Aftermarket Service and Field Support,Customer and Experience Operations,Product Manufacturing and Lifecycle Operations,Machinery,33,Legacy Architecture,ERP | PLM and Engineering Design | Manufacturing Execution System | Maintenance Management,knowledge/research/workflow-library/workflows/aftermarket-service-and-field-support.md
SF-04,Human Judgment Under Incomplete Information,Primary,16.0,Aftermarket Service and Field Support,Customer and Experience Operations,Product Manufacturing and Lifecycle Operations,"Motor vehicles, bodies and trailers, and parts",21,Legacy Architecture,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning,knowledge/research/workflow-library/workflows/aftermarket-service-and-field-support.md
SF-01,Exception-Path Breakdown,Secondary,14.0,Aftermarket Service and Field Support,Customer and Experience Operations,Product Manufacturing and Lifecycle Operations,"Motor vehicles, bodies and trailers, and parts",21,Legacy Architecture,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning,knowledge/research/workflow-library/workflows/aftermarket-service-and-field-support.md
SF-03,Decision Context Escapes the Record,Secondary,9.0,Aftermarket Service and Field Support,Customer and Experience Operations,Product Manufacturing and Lifecycle Operations,"Motor vehicles, bodies and trailers, and parts",21,Legacy Architecture,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning,knowledge/research/workflow-library/workflows/aftermarket-service-and-field-support.md
SF-04,Human Judgment Under Incomplete Information,Primary,16.0,Aftermarket Service and Field Support,Customer and Experience Operations,Product Manufacturing and Lifecycle Operations,Other transportation equipment,34,Legacy Architecture,ERP | PLM and Engineering Design | Project and Construction Management,knowledge/research/workflow-library/workflows/aftermarket-service-and-field-support.md
SF-01,Exception-Path Breakdown,Secondary,14.0,Aftermarket Service and Field Support,Customer and Experience Operations,Product Manufacturing and Lifecycle Operations,Other transportation equipment,34,Legacy Architecture,ERP | PLM and Engineering Design | Project and Construction Management,knowledge/research/workflow-library/workflows/aftermarket-service-and-field-support.md
SF-03,Decision Context Escapes the Record,Secondary,9.0,Aftermarket Service and Field Support,Customer and Experience Operations,Product Manufacturing and Lifecycle Operations,Other transportation equipment,34,Legacy Architecture,ERP | PLM and Engineering Design | Project and Construction Management,knowledge/research/workflow-library/workflows/aftermarket-service-and-field-support.md
SF-06,Plan vs. Reality Divergence,Primary,16.5,Assembly and Test,Production and Asset Operations,Product Manufacturing and Lifecycle Operations,"Electrical equipment, appliances, and components",50,Legacy Architecture,ERP | PLM and Engineering Design | Manufacturing Execution System | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/assembly-and-test.md
SF-04,Human Judgment Under Incomplete Information,Secondary,10.0,Assembly and Test,Production and Asset Operations,Product Manufacturing and Lifecycle Operations,"Electrical equipment, appliances, and components",50,Legacy Architecture,ERP | PLM and Engineering Design | Manufacturing Execution System | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/assembly-and-test.md
SF-03,Decision Context Escapes the Record,Secondary,8.0,Assembly and Test,Production and Asset Operations,Product Manufacturing and Lifecycle Operations,"Electrical equipment, appliances, and components",50,Legacy Architecture,ERP | PLM and Engineering Design | Manufacturing Execution System | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/assembly-and-test.md
SF-06,Plan vs. Reality Divergence,Primary,16.5,Assembly and Test,Production and Asset Operations,Product Manufacturing and Lifecycle Operations,Machinery,33,Legacy Architecture,ERP | PLM and Engineering Design | Manufacturing Execution System | Maintenance Management,knowledge/research/workflow-library/workflows/assembly-and-test.md
SF-04,Human Judgment Under Incomplete Information,Secondary,10.0,Assembly and Test,Production and Asset Operations,Product Manufacturing and Lifecycle Operations,Machinery,33,Legacy Architecture,ERP | PLM and Engineering Design | Manufacturing Execution System | Maintenance Management,knowledge/research/workflow-library/workflows/assembly-and-test.md
SF-03,Decision Context Escapes the Record,Secondary,8.0,Assembly and Test,Production and Asset Operations,Product Manufacturing and Lifecycle Operations,Machinery,33,Legacy Architecture,ERP | PLM and Engineering Design | Manufacturing Execution System | Maintenance Management,knowledge/research/workflow-library/workflows/assembly-and-test.md
SF-06,Plan vs. Reality Divergence,Primary,16.5,"Assembly, Test, and Certification",Production and Asset Operations,Product Manufacturing and Lifecycle Operations,Other transportation equipment,34,Legacy Architecture,ERP | PLM and Engineering Design | Project and Construction Management,knowledge/research/workflow-library/workflows/assembly-test-and-certification.md
SF-04,Human Judgment Under Incomplete Information,Secondary,10.0,"Assembly, Test, and Certification",Production and Asset Operations,Product Manufacturing and Lifecycle Operations,Other transportation equipment,34,Legacy Architecture,ERP | PLM and Engineering Design | Project and Construction Management,knowledge/research/workflow-library/workflows/assembly-test-and-certification.md
SF-03,Decision Context Escapes the Record,Secondary,8.0,"Assembly, Test, and Certification",Production and Asset Operations,Product Manufacturing and Lifecycle Operations,Other transportation equipment,34,Legacy Architecture,ERP | PLM and Engineering Design | Project and Construction Management,knowledge/research/workflow-library/workflows/assembly-test-and-certification.md
SF-04,Human Judgment Under Incomplete Information,Primary,21.5,Asset Acquisition and Setup,Planning and Allocation,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Technical,Rental Operations Management | Maintenance Management | ERP,knowledge/research/workflow-library/workflows/asset-acquisition-and-setup.md
SF-06,Plan vs. Reality Divergence,Secondary,13.0,Asset Acquisition and Setup,Planning and Allocation,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Technical,Rental Operations Management | Maintenance Management | ERP,knowledge/research/workflow-library/workflows/asset-acquisition-and-setup.md
SF-08,Multi-Party Trust and Dependency Gaps,Secondary,8.0,Asset Acquisition and Setup,Planning and Allocation,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Technical,Rental Operations Management | Maintenance Management | ERP,knowledge/research/workflow-library/workflows/asset-acquisition-and-setup.md
SF-04,Human Judgment Under Incomplete Information,Primary,14.0,Asset Maintenance and Outage Management,Production and Asset Operations,Network Infrastructure Operations,Utilities,24,Legacy Architecture,Utility Operations and Billing | Maintenance Management | Industrial Automation and SCADA | ERP,knowledge/research/workflow-library/workflows/asset-maintenance-and-outage-management.md
SF-06,Plan vs. Reality Divergence,Secondary,13.0,Asset Maintenance and Outage Management,Production and Asset Operations,Network Infrastructure Operations,Utilities,24,Legacy Architecture,Utility Operations and Billing | Maintenance Management | Industrial Automation and SCADA | ERP,knowledge/research/workflow-library/workflows/asset-maintenance-and-outage-management.md
SF-03,Decision Context Escapes the Record,Secondary,8.0,Asset Maintenance and Outage Management,Production and Asset Operations,Network Infrastructure Operations,Utilities,24,Legacy Architecture,Utility Operations and Billing | Maintenance Management | Industrial Automation and SCADA | ERP,knowledge/research/workflow-library/workflows/asset-maintenance-and-outage-management.md
SF-04,Human Judgment Under Incomplete Information,Primary,14.0,Asset Maintenance and Turnover,Production and Asset Operations,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Legacy Architecture,Rental Operations Management | Maintenance Management | ERP,knowledge/research/workflow-library/workflows/asset-maintenance-and-turnover.md
SF-06,Plan vs. Reality Divergence,Secondary,13.0,Asset Maintenance and Turnover,Production and Asset Operations,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Legacy Architecture,Rental Operations Management | Maintenance Management | ERP,knowledge/research/workflow-library/workflows/asset-maintenance-and-turnover.md
SF-03,Decision Context Escapes the Record,Secondary,8.0,Asset Maintenance and Turnover,Production and Asset Operations,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Legacy Architecture,Rental Operations Management | Maintenance Management | ERP,knowledge/research/workflow-library/workflows/asset-maintenance-and-turnover.md
SF-04,Human Judgment Under Incomplete Information,Primary,14.0,Asset Maintenance and Uptime Management,Production and Asset Operations,Process Manufacturing and Throughput Control,Paper products,48,Legacy Architecture,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning,knowledge/research/workflow-library/workflows/asset-maintenance-and-uptime-management.md
SF-06,Plan vs. Reality Divergence,Secondary,13.0,Asset Maintenance and Uptime Management,Production and Asset Operations,Process Manufacturing and Throughput Control,Paper products,48,Legacy Architecture,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning,knowledge/research/workflow-library/workflows/asset-maintenance-and-uptime-management.md
SF-03,Decision Context Escapes the Record,Secondary,8.0,Asset Maintenance and Uptime Management,Production and Asset Operations,Process Manufacturing and Throughput Control,Paper products,48,Legacy Architecture,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning,knowledge/research/workflow-library/workflows/asset-maintenance-and-uptime-management.md
SF-04,Human Judgment Under Incomplete Information,Primary,14.0,Asset Maintenance and Uptime Management,Production and Asset Operations,Process Manufacturing and Throughput Control,Primary metals,44,Legacy Architecture,ERP | Industrial Automation and SCADA | Maintenance Management | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/asset-maintenance-and-uptime-management.md
SF-06,Plan vs. Reality Divergence,Secondary,13.0,Asset Maintenance and Uptime Management,Production and Asset Operations,Process Manufacturing and Throughput Control,Primary metals,44,Legacy Architecture,ERP | Industrial Automation and SCADA | Maintenance Management | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/asset-maintenance-and-uptime-management.md
SF-03,Decision Context Escapes the Record,Secondary,8.0,Asset Maintenance and Uptime Management,Production and Asset Operations,Process Manufacturing and Throughput Control,Primary metals,44,Legacy Architecture,ERP | Industrial Automation and SCADA | Maintenance Management | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/asset-maintenance-and-uptime-management.md
SF-04,Human Judgment Under Incomplete Information,Primary,14.0,Asset Maintenance and Work Orders,Production and Asset Operations,Asset Utilization and Lease Management,Housing,1,Legacy Architecture,Property Management System | CRM | Maintenance Management,knowledge/research/workflow-library/workflows/asset-maintenance-and-work-orders.md
SF-06,Plan vs. Reality Divergence,Secondary,13.0,Asset Maintenance and Work Orders,Production and Asset Operations,Asset Utilization and Lease Management,Housing,1,Legacy Architecture,Property Management System | CRM | Maintenance Management,knowledge/research/workflow-library/workflows/asset-maintenance-and-work-orders.md
SF-03,Decision Context Escapes the Record,Secondary,8.0,Asset Maintenance and Work Orders,Production and Asset Operations,Asset Utilization and Lease Management,Housing,1,Legacy Architecture,Property Management System | CRM | Maintenance Management,knowledge/research/workflow-library/workflows/asset-maintenance-and-work-orders.md
SF-04,Human Judgment Under Incomplete Information,Primary,14.0,Asset Maintenance and Work Orders,Production and Asset Operations,Asset Utilization and Lease Management,Other real estate,5,Legacy Architecture,Property Management System | Real Estate Asset Management | CRM | Fund Administration and Accounting,knowledge/research/workflow-library/workflows/asset-maintenance-and-work-orders.md
SF-06,Plan vs. Reality Divergence,Secondary,13.0,Asset Maintenance and Work Orders,Production and Asset Operations,Asset Utilization and Lease Management,Other real estate,5,Legacy Architecture,Property Management System | Real Estate Asset Management | CRM | Fund Administration and Accounting,knowledge/research/workflow-library/workflows/asset-maintenance-and-work-orders.md
SF-03,Decision Context Escapes the Record,Secondary,8.0,Asset Maintenance and Work Orders,Production and Asset Operations,Asset Utilization and Lease Management,Other real estate,5,Legacy Architecture,Property Management System | Real Estate Asset Management | CRM | Fund Administration and Accounting,knowledge/research/workflow-library/workflows/asset-maintenance-and-work-orders.md
SF-02,Cross-System Reconciliation,Primary,13.0,Asset and Investor Reporting,Governance and Portfolio Operations,Asset Utilization and Lease Management,Other real estate,5,Technical,Property Management System | Real Estate Asset Management | CRM | Fund Administration and Accounting,knowledge/research/workflow-library/workflows/asset-and-investor-reporting.md
SF-03,Decision Context Escapes the Record,Secondary,11.0,Asset and Investor Reporting,Governance and Portfolio Operations,Asset Utilization and Lease Management,Other real estate,5,Technical,Property Management System | Real Estate Asset Management | CRM | Fund Administration and Accounting,knowledge/research/workflow-library/workflows/asset-and-investor-reporting.md
SF-04,Human Judgment Under Incomplete Information,Secondary,9.0,Asset and Investor Reporting,Governance and Portfolio Operations,Asset Utilization and Lease Management,Other real estate,5,Technical,Property Management System | Real Estate Asset Management | CRM | Fund Administration and Accounting,knowledge/research/workflow-library/workflows/asset-and-investor-reporting.md
SF-04,Human Judgment Under Incomplete Information,Primary,21.5,Asset and Reserve Evaluation,Planning and Allocation,Field Production and Resource Extraction,Oil and gas extraction,32,Technical,Upstream Energy Management | Production Accounting and Regulatory | Geoscience and Reservoir Management | ERP,knowledge/research/workflow-library/workflows/asset-and-reserve-evaluation.md
SF-06,Plan vs. Reality Divergence,Secondary,13.0,Asset and Reserve Evaluation,Planning and Allocation,Field Production and Resource Extraction,Oil and gas extraction,32,Technical,Upstream Energy Management | Production Accounting and Regulatory | Geoscience and Reservoir Management | ERP,knowledge/research/workflow-library/workflows/asset-and-reserve-evaluation.md
SF-08,Multi-Party Trust and Dependency Gaps,Secondary,8.0,Asset and Reserve Evaluation,Planning and Allocation,Field Production and Resource Extraction,Oil and gas extraction,32,Technical,Upstream Energy Management | Production Accounting and Regulatory | Geoscience and Reservoir Management | ERP,knowledge/research/workflow-library/workflows/asset-and-reserve-evaluation.md
SF-01,Exception-Path Breakdown,Primary,20.5,Billing and Asset Recovery,Finance and Revenue Operations,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Legacy Architecture,Rental Operations Management | Maintenance Management | ERP,knowledge/research/workflow-library/workflows/billing-and-asset-recovery.md
SF-03,Decision Context Escapes the Record,Secondary,14.0,Billing and Asset Recovery,Finance and Revenue Operations,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Legacy Architecture,Rental Operations Management | Maintenance Management | ERP,knowledge/research/workflow-library/workflows/billing-and-asset-recovery.md
SF-02,Cross-System Reconciliation,Secondary,10.0,Billing and Asset Recovery,Finance and Revenue Operations,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Legacy Architecture,Rental Operations Management | Maintenance Management | ERP,knowledge/research/workflow-library/workflows/billing-and-asset-recovery.md
SF-01,Exception-Path Breakdown,Primary,20.5,Billing and Collections,Finance and Revenue Operations,Distribution and Trade Operations,Wholesale trade,2,Legacy Architecture,ERP | Supply Chain Planning | Warehouse Management System | Order Management System,knowledge/research/workflow-library/workflows/billing-and-collections.md
SF-03,Decision Context Escapes the Record,Secondary,14.0,Billing and Collections,Finance and Revenue Operations,Distribution and Trade Operations,Wholesale trade,2,Legacy Architecture,ERP | Supply Chain Planning | Warehouse Management System | Order Management System,knowledge/research/workflow-library/workflows/billing-and-collections.md
SF-02,Cross-System Reconciliation,Secondary,10.0,Billing and Collections,Finance and Revenue Operations,Distribution and Trade Operations,Wholesale trade,2,Legacy Architecture,ERP | Supply Chain Planning | Warehouse Management System | Order Management System,knowledge/research/workflow-library/workflows/billing-and-collections.md
SF-01,Exception-Path Breakdown,Primary,20.5,Billing and Collections,Finance and Revenue Operations,Network Infrastructure Operations,Broadcasting and telecommunications,18,Legacy Architecture,Network OSS/BSS | Billing and Subscription Management | CRM,knowledge/research/workflow-library/workflows/billing-and-collections.md
SF-03,Decision Context Escapes the Record,Secondary,14.0,Billing and Collections,Finance and Revenue Operations,Network Infrastructure Operations,Broadcasting and telecommunications,18,Legacy Architecture,Network OSS/BSS | Billing and Subscription Management | CRM,knowledge/research/workflow-library/workflows/billing-and-collections.md
SF-02,Cross-System Reconciliation,Secondary,10.0,Billing and Collections,Finance and Revenue Operations,Network Infrastructure Operations,Broadcasting and telecommunications,18,Legacy Architecture,Network OSS/BSS | Billing and Subscription Management | CRM,knowledge/research/workflow-library/workflows/billing-and-collections.md
SF-01,Exception-Path Breakdown,Primary,20.5,Billing and Collections,Finance and Revenue Operations,Professional Services and Matter Management,"Miscellaneous professional, scientific, and technical services",4,Legacy Architecture,CRM | HCM / Workforce Management | Professional Services Automation | ERP,knowledge/research/workflow-library/workflows/billing-and-collections.md
SF-03,Decision Context Escapes the Record,Secondary,14.0,Billing and Collections,Finance and Revenue Operations,Professional Services and Matter Management,"Miscellaneous professional, scientific, and technical services",4,Legacy Architecture,CRM | HCM / Workforce Management | Professional Services Automation | ERP,knowledge/research/workflow-library/workflows/billing-and-collections.md
SF-02,Cross-System Reconciliation,Secondary,10.0,Billing and Collections,Finance and Revenue Operations,Professional Services and Matter Management,"Miscellaneous professional, scientific, and technical services",4,Legacy Architecture,CRM | HCM / Workforce Management | Professional Services Automation | ERP,knowledge/research/workflow-library/workflows/billing-and-collections.md
SF-01,Exception-Path Breakdown,Primary,20.5,Billing and Payment Processing,Finance and Revenue Operations,Workforce Coordination and Service Operations,"Other services, except government",14,Legacy Architecture,CRM | POS and Payments | HCM / Workforce Management | Service Management,knowledge/research/workflow-library/workflows/billing-and-payment-processing.md
SF-03,Decision Context Escapes the Record,Secondary,14.0,Billing and Payment Processing,Finance and Revenue Operations,Workforce Coordination and Service Operations,"Other services, except government",14,Legacy Architecture,CRM | POS and Payments | HCM / Workforce Management | Service Management,knowledge/research/workflow-library/workflows/billing-and-payment-processing.md
SF-02,Cross-System Reconciliation,Secondary,10.0,Billing and Payment Processing,Finance and Revenue Operations,Workforce Coordination and Service Operations,"Other services, except government",14,Legacy Architecture,CRM | POS and Payments | HCM / Workforce Management | Service Management,knowledge/research/workflow-library/workflows/billing-and-payment-processing.md
SF-02,Cross-System Reconciliation,Primary,23.5,Billing and Reconciliation,Finance and Revenue Operations,Asset Utilization and Lease Management,Other real estate,5,Legacy Architecture,Property Management System | Real Estate Asset Management | CRM | Fund Administration and Accounting,knowledge/research/workflow-library/workflows/billing-and-reconciliation.md
SF-01,Exception-Path Breakdown,Secondary,16.0,Billing and Reconciliation,Finance and Revenue Operations,Asset Utilization and Lease Management,Other real estate,5,Legacy Architecture,Property Management System | Real Estate Asset Management | CRM | Fund Administration and Accounting,knowledge/research/workflow-library/workflows/billing-and-reconciliation.md
SF-03,Decision Context Escapes the Record,Secondary,14.0,Billing and Reconciliation,Finance and Revenue Operations,Asset Utilization and Lease Management,Other real estate,5,Legacy Architecture,Property Management System | Real Estate Asset Management | CRM | Fund Administration and Accounting,knowledge/research/workflow-library/workflows/billing-and-reconciliation.md
SF-01,Exception-Path Breakdown,Primary,21.0,Billing and Renewals,Finance and Revenue Operations,"IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",22,Legacy Architecture,CRM | Billing and Subscription Management | ERP | Service Management,knowledge/research/workflow-library/workflows/billing-and-renewals.md
SF-03,Decision Context Escapes the Record,Secondary,8.0,Billing and Renewals,Finance and Revenue Operations,"IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",22,Legacy Architecture,CRM | Billing and Subscription Management | ERP | Service Management,knowledge/research/workflow-library/workflows/billing-and-renewals.md
SF-02,Cross-System Reconciliation,Secondary,6.0,Billing and Renewals,Finance and Revenue Operations,"IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",22,Legacy Architecture,CRM | Billing and Subscription Management | ERP | Service Management,knowledge/research/workflow-library/workflows/billing-and-renewals.md
SF-07,Compliance and Evidence Burden,Primary,21.0,"Billing, Aid, and Regulatory Reporting",Finance and Revenue Operations,Education Delivery and Administration,Educational services,30,Regulatory,Student Information System | Learning Management System | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/billing-aid-and-regulatory-reporting.md
SF-03,Decision Context Escapes the Record,Secondary,13.0,"Billing, Aid, and Regulatory Reporting",Finance and Revenue Operations,Education Delivery and Administration,Educational services,30,Regulatory,Student Information System | Learning Management System | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/billing-aid-and-regulatory-reporting.md
SF-02,Cross-System Reconciliation,Secondary,10.0,"Billing, Aid, and Regulatory Reporting",Finance and Revenue Operations,Education Delivery and Administration,Educational services,30,Regulatory,Student Information System | Learning Management System | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/billing-aid-and-regulatory-reporting.md
SF-03,Decision Context Escapes the Record,Primary,13.0,"Billing, Claims, and Collections",Finance and Revenue Operations,Care Delivery and Reimbursement,Ambulatory health care services,6,Regulatory,EHR and Care Management | Practice Management | Revenue Cycle Management,knowledge/research/workflow-library/workflows/billing-claims-and-collections.md
SF-04,Human Judgment Under Incomplete Information,Secondary,9.0,"Billing, Claims, and Collections",Finance and Revenue Operations,Care Delivery and Reimbursement,Ambulatory health care services,6,Regulatory,EHR and Care Management | Practice Management | Revenue Cycle Management,knowledge/research/workflow-library/workflows/billing-claims-and-collections.md
SF-07,Compliance and Evidence Burden,Secondary,8.5,"Billing, Claims, and Collections",Finance and Revenue Operations,Care Delivery and Reimbursement,Ambulatory health care services,6,Regulatory,EHR and Care Management | Practice Management | Revenue Cycle Management,knowledge/research/workflow-library/workflows/billing-claims-and-collections.md
SF-03,Decision Context Escapes the Record,Primary,13.0,"Billing, Claims, and Collections",Finance and Revenue Operations,Care Delivery and Reimbursement,Hospitals,12,Regulatory,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/billing-claims-and-collections.md
SF-04,Human Judgment Under Incomplete Information,Secondary,9.0,"Billing, Claims, and Collections",Finance and Revenue Operations,Care Delivery and Reimbursement,Hospitals,12,Regulatory,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/billing-claims-and-collections.md
SF-07,Compliance and Evidence Burden,Secondary,8.5,"Billing, Claims, and Collections",Finance and Revenue Operations,Care Delivery and Reimbursement,Hospitals,12,Regulatory,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/billing-claims-and-collections.md
SF-03,Decision Context Escapes the Record,Primary,13.0,"Billing, Claims, and Collections",Finance and Revenue Operations,Care Delivery and Reimbursement,Nursing and residential care facilities,37,Regulatory,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management,knowledge/research/workflow-library/workflows/billing-claims-and-collections.md
SF-04,Human Judgment Under Incomplete Information,Secondary,9.0,"Billing, Claims, and Collections",Finance and Revenue Operations,Care Delivery and Reimbursement,Nursing and residential care facilities,37,Regulatory,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management,knowledge/research/workflow-library/workflows/billing-claims-and-collections.md
SF-07,Compliance and Evidence Burden,Secondary,8.5,"Billing, Claims, and Collections",Finance and Revenue Operations,Care Delivery and Reimbursement,Nursing and residential care facilities,37,Regulatory,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management,knowledge/research/workflow-library/workflows/billing-claims-and-collections.md
