workflow_name,workflow_family,canonical_operating_system,industry_name,industry_rank_2025_gross_output,systems_of_record_categories
Merchandising and Assortment Planning,Planning and Allocation,Retail and Service Commerce,Other retail,7,Commerce Platform | ERP | Order Management System | Warehouse Management System
Inventory Allocation and Replenishment,Planning and Allocation,Retail and Service Commerce,Other retail,7,Commerce Platform | ERP | Order Management System | Warehouse Management System
Order Capture and Payment Processing,Customer and Experience Operations,Retail and Service Commerce,Other retail,7,Commerce Platform | ERP | Order Management System | Warehouse Management System
Fulfillment and Returns Management,Delivery and Service Execution,Retail and Service Commerce,Other retail,7,Commerce Platform | ERP | Order Management System | Warehouse Management System
Pricing and Promotion Management,Customer and Experience Operations,Retail and Service Commerce,Other retail,7,Commerce Platform | ERP | Order Management System | Warehouse Management System
Distribution and Quote-to-Bind,"Access, Intake, and Contracting",Risk Underwriting and Claims Administration,Insurance carriers and related activities,8,Policy Administration | Claims Management | Underwriting and Rating | CRM
Underwriting and Pricing,"Risk, Compliance, and Reporting",Risk Underwriting and Claims Administration,Insurance carriers and related activities,8,Policy Administration | Claims Management | Underwriting and Rating | CRM
Policy Administration,"Risk, Compliance, and Reporting",Risk Underwriting and Claims Administration,Insurance carriers and related activities,8,Policy Administration | Claims Management | Underwriting and Rating | CRM
Claims Administration,Finance and Revenue Operations,Risk Underwriting and Claims Administration,Insurance carriers and related activities,8,Policy Administration | Claims Management | Underwriting and Rating | CRM
Regulatory and Reinsurance Reporting,"Risk, Compliance, and Reporting",Risk Underwriting and Claims Administration,Insurance carriers and related activities,8,Policy Administration | Claims Management | Underwriting and Rating | CRM
Account and Loan Onboarding,"Access, Intake, and Contracting","Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM
Deposit and Payment Operations,Finance and Revenue Operations,"Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM
Credit Underwriting and Servicing,Finance and Revenue Operations,"Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM
Risk and Compliance Monitoring,"Risk, Compliance, and Reporting","Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM
Collections and Loss Mitigation,Finance and Revenue Operations,"Deposit, Credit, and Payment Intermediation","Federal Reserve banks, credit intermediation, and related activities",9,Core Banking | Loan Origination and Servicing | Payments | Risk and Compliance | CRM
Workforce Scheduling,Workforce and Labor Operations,Retail and Service Commerce,Food services and drinking places,10,POS and Payments | Restaurant Back Office and Inventory | HCM / Workforce Management
Procurement and Prep Management,Sourcing and Supply,Retail and Service Commerce,Food services and drinking places,10,POS and Payments | Restaurant Back Office and Inventory | HCM / Workforce Management
Point-of-Sale and Order Flow,Customer and Experience Operations,Retail and Service Commerce,Food services and drinking places,10,POS and Payments | Restaurant Back Office and Inventory | HCM / Workforce Management
Service Execution,Delivery and Service Execution,Retail and Service Commerce,Food services and drinking places,10,POS and Payments | Restaurant Back Office and Inventory | HCM / Workforce Management
Cash and Inventory Reconciliation,Finance and Revenue Operations,Retail and Service Commerce,Food services and drinking places,10,POS and Payments | Restaurant Back Office and Inventory | HCM / Workforce Management
Client Intake and Scope Definition,"Access, Intake, and Contracting",Workforce Coordination and Service Operations,Administrative and support services,11,HCM / Workforce Management | CRM | Service Management | ERP
Recruiting and Work Assignment,Workforce and Labor Operations,Workforce Coordination and Service Operations,Administrative and support services,11,HCM / Workforce Management | CRM | Service Management | ERP
Workforce Scheduling,Workforce and Labor Operations,Workforce Coordination and Service Operations,Administrative and support services,11,HCM / Workforce Management | CRM | Service Management | ERP
Service-Level Monitoring,Governance and Portfolio Operations,Workforce Coordination and Service Operations,Administrative and support services,11,HCM / Workforce Management | CRM | Service Management | ERP
"Payroll, Billing, and Reconciliation",Finance and Revenue Operations,Workforce Coordination and Service Operations,Administrative and support services,11,HCM / Workforce Management | CRM | Service Management | ERP
"Access, Admissions, and Throughput Management","Access, Intake, and Contracting",Care Delivery and Reimbursement,Hospitals,12,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP
Clinical Documentation,Clinical and Case Operations,Care Delivery and Reimbursement,Hospitals,12,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP
Care Coordination and Order Management,Clinical and Case Operations,Care Delivery and Reimbursement,Hospitals,12,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP
"Billing, Claims, and Collections",Finance and Revenue Operations,Care Delivery and Reimbursement,Hospitals,12,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP
Payer Contract Management,Finance and Revenue Operations,Care Delivery and Reimbursement,Hospitals,12,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP
Demand Planning,Planning and Allocation,Process Manufacturing and Throughput Control,Food and beverage and tobacco products,13,ERP | Supply Chain Planning | Manufacturing Execution System | Industrial Automation and SCADA
Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Food and beverage and tobacco products,13,ERP | Supply Chain Planning | Manufacturing Execution System | Industrial Automation and SCADA
Production Planning and Process Control,Production and Asset Operations,Process Manufacturing and Throughput Control,Food and beverage and tobacco products,13,ERP | Supply Chain Planning | Manufacturing Execution System | Industrial Automation and SCADA
Regulatory Labeling and Compliance,"Risk, Compliance, and Reporting",Process Manufacturing and Throughput Control,Food and beverage and tobacco products,13,ERP | Supply Chain Planning | Manufacturing Execution System | Industrial Automation and SCADA
Distribution and Trade Promotion,Customer and Experience Operations,Process Manufacturing and Throughput Control,Food and beverage and tobacco products,13,ERP | Supply Chain Planning | Manufacturing Execution System | Industrial Automation and SCADA
Lead Intake and Scheduling,"Access, Intake, and Contracting",Workforce Coordination and Service Operations,"Other services, except government",14,CRM | POS and Payments | HCM / Workforce Management | Service Management
Workforce Scheduling and Dispatch,Workforce and Labor Operations,Workforce Coordination and Service Operations,"Other services, except government",14,CRM | POS and Payments | HCM / Workforce Management | Service Management
Field Service Execution,Delivery and Service Execution,Workforce Coordination and Service Operations,"Other services, except government",14,CRM | POS and Payments | HCM / Workforce Management | Service Management
Billing and Payment Processing,Finance and Revenue Operations,Workforce Coordination and Service Operations,"Other services, except government",14,CRM | POS and Payments | HCM / Workforce Management | Service Management
Customer Retention and Repeat Service,Customer and Experience Operations,Workforce Coordination and Service Operations,"Other services, except government",14,CRM | POS and Payments | HCM / Workforce Management | Service Management
Client Onboarding and KYC,"Access, Intake, and Contracting",Capital Markets and Investment Management,"Securities, commodity contracts, and investments",15,Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance
Portfolio and Order Management,Governance and Portfolio Operations,Capital Markets and Investment Management,"Securities, commodity contracts, and investments",15,Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance
Trade Execution and Settlement,Finance and Revenue Operations,Capital Markets and Investment Management,"Securities, commodity contracts, and investments",15,Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance
Risk and Compliance Surveillance,"Risk, Compliance, and Reporting",Capital Markets and Investment Management,"Securities, commodity contracts, and investments",15,Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance
Investor Reporting and Performance,Governance and Portfolio Operations,Capital Markets and Investment Management,"Securities, commodity contracts, and investments",15,Portfolio and Order Management | Trading and Market Data | CRM | Investor Reporting and Performance
Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Chemical products,16,ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management
Production Planning and Process Control,Production and Asset Operations,Process Manufacturing and Throughput Control,Chemical products,16,ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management
"Quality, Safety, and Environmental Management","Risk, Compliance, and Reporting",Process Manufacturing and Throughput Control,Chemical products,16,ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management
Order Management and Fulfillment,Delivery and Service Execution,Process Manufacturing and Throughput Control,Chemical products,16,ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management
Contract and Margin Management,Finance and Revenue Operations,Process Manufacturing and Throughput Control,Chemical products,16,ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management
Infrastructure Capacity Planning,Planning and Allocation,Digital Platform and Subscription Operations,"Data processing, internet publishing, and other information services",17,Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management
Product and Content Release Management,"Product, Content, and Engineering",Digital Platform and Subscription Operations,"Data processing, internet publishing, and other information services",17,Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management
Customer Acquisition and Onboarding,"Access, Intake, and Contracting",Digital Platform and Subscription Operations,"Data processing, internet publishing, and other information services",17,Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management
Usage Billing and Monetization,Finance and Revenue Operations,Digital Platform and Subscription Operations,"Data processing, internet publishing, and other information services",17,Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management
Reliability and Security Operations,"Risk, Compliance, and Reporting",Digital Platform and Subscription Operations,"Data processing, internet publishing, and other information services",17,Cloud Infrastructure and IT Operations | CRM | Service Management | Billing and Subscription Management
Network Planning and Capital Management,Planning and Allocation,Network Infrastructure Operations,Broadcasting and telecommunications,18,Network OSS/BSS | Billing and Subscription Management | CRM
Service Provisioning and Activation,Network and Transportation Operations,Network Infrastructure Operations,Broadcasting and telecommunications,18,Network OSS/BSS | Billing and Subscription Management | CRM
Content and Service Operations,Delivery and Service Execution,Network Infrastructure Operations,Broadcasting and telecommunications,18,Network OSS/BSS | Billing and Subscription Management | CRM
Billing and Collections,Finance and Revenue Operations,Network Infrastructure Operations,Broadcasting and telecommunications,18,Network OSS/BSS | Billing and Subscription Management | CRM
Outage and Regulatory Management,"Risk, Compliance, and Reporting",Network Infrastructure Operations,Broadcasting and telecommunications,18,Network OSS/BSS | Billing and Subscription Management | CRM
Capital Allocation and Planning,Governance and Portfolio Operations,Enterprise Governance and Shared Services,Management of companies and enterprises,19,EPM and Financial Consolidation | ERP | HCM / Workforce Management | Service Management
Financial Consolidation,Governance and Portfolio Operations,Enterprise Governance and Shared Services,Management of companies and enterprises,19,EPM and Financial Consolidation | ERP | HCM / Workforce Management | Service Management
Governance and Risk Review,Governance and Portfolio Operations,Enterprise Governance and Shared Services,Management of companies and enterprises,19,EPM and Financial Consolidation | ERP | HCM / Workforce Management | Service Management
Shared Service Operations,Governance and Portfolio Operations,Enterprise Governance and Shared Services,Management of companies and enterprises,19,EPM and Financial Consolidation | ERP | HCM / Workforce Management | Service Management
Performance Management,Governance and Portfolio Operations,Enterprise Governance and Shared Services,Management of companies and enterprises,19,EPM and Financial Consolidation | ERP | HCM / Workforce Management | Service Management
Lead and Proposal Management,"Access, Intake, and Contracting",Professional Services and Matter Management,Computer systems design and related services,20,CRM | HCM / Workforce Management | Professional Services Automation | Service Management
Staffing and Capacity Planning,Workforce and Labor Operations,Professional Services and Matter Management,Computer systems design and related services,20,CRM | HCM / Workforce Management | Professional Services Automation | Service Management
Project Delivery,Delivery and Service Execution,Professional Services and Matter Management,Computer systems design and related services,20,CRM | HCM / Workforce Management | Professional Services Automation | Service Management
Time and Expense Capture,Finance and Revenue Operations,Professional Services and Matter Management,Computer systems design and related services,20,CRM | HCM / Workforce Management | Professional Services Automation | Service Management
Renewal and Account Expansion,Customer and Experience Operations,Professional Services and Matter Management,Computer systems design and related services,20,CRM | HCM / Workforce Management | Professional Services Automation | Service Management
Program and Platform Planning,Planning and Allocation,Product Manufacturing and Lifecycle Operations,"Motor vehicles, bodies and trailers, and parts",21,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning
Supplier Scheduling and Procurement,Sourcing and Supply,Product Manufacturing and Lifecycle Operations,"Motor vehicles, bodies and trailers, and parts",21,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning
Shop Floor Execution and Quality Management,Production and Asset Operations,Product Manufacturing and Lifecycle Operations,"Motor vehicles, bodies and trailers, and parts",21,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning
Logistics and Channel Fulfillment,Delivery and Service Execution,Product Manufacturing and Lifecycle Operations,"Motor vehicles, bodies and trailers, and parts",21,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning
Aftermarket Service and Field Support,Customer and Experience Operations,Product Manufacturing and Lifecycle Operations,"Motor vehicles, bodies and trailers, and parts",21,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning
Product and Content Development,"Product, Content, and Engineering","IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",22,CRM | Billing and Subscription Management | ERP | Service Management
Subscription and License Management,Finance and Revenue Operations,"IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",22,CRM | Billing and Subscription Management | ERP | Service Management
Distribution and Release Management,"Product, Content, and Engineering","IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",22,CRM | Billing and Subscription Management | ERP | Service Management
Customer Support and Success,Customer and Experience Operations,"IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",22,CRM | Billing and Subscription Management | ERP | Service Management
Billing and Renewals,Finance and Revenue Operations,"IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",22,CRM | Billing and Subscription Management | ERP | Service Management
Asset Acquisition and Setup,Planning and Allocation,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Rental Operations Management | Maintenance Management | ERP
Reservation and Contract Management,"Access, Intake, and Contracting",Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Rental Operations Management | Maintenance Management | ERP
Dispatch and Checkout,Delivery and Service Execution,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Rental Operations Management | Maintenance Management | ERP
Asset Maintenance and Turnover,Production and Asset Operations,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Rental Operations Management | Maintenance Management | ERP
Billing and Asset Recovery,Finance and Revenue Operations,Asset Utilization and Lease Management,Rental and leasing services and lessors of intangible assets,23,Rental Operations Management | Maintenance Management | ERP
Load Forecasting and Dispatch,Network and Transportation Operations,Network Infrastructure Operations,Utilities,24,Utility Operations and Billing | Maintenance Management | Industrial Automation and SCADA | ERP
Asset Maintenance and Outage Management,Production and Asset Operations,Network Infrastructure Operations,Utilities,24,Utility Operations and Billing | Maintenance Management | Industrial Automation and SCADA | ERP
Meter-to-Cash,Finance and Revenue Operations,Network Infrastructure Operations,Utilities,24,Utility Operations and Billing | Maintenance Management | Industrial Automation and SCADA | ERP
Capital Planning and Compliance Reporting,Governance and Portfolio Operations,Network Infrastructure Operations,Utilities,24,Utility Operations and Billing | Maintenance Management | Industrial Automation and SCADA | ERP
Customer Service and Field Response,Customer and Experience Operations,Network Infrastructure Operations,Utilities,24,Utility Operations and Billing | Maintenance Management | Industrial Automation and SCADA | ERP
Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Petroleum and coal products,25,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning
Production Planning and Process Control,Production and Asset Operations,Process Manufacturing and Throughput Control,Petroleum and coal products,25,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning
Maintenance and Turnaround Management,Production and Asset Operations,Process Manufacturing and Throughput Control,Petroleum and coal products,25,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning
"Blending, Logistics, and Distribution",Delivery and Service Execution,Process Manufacturing and Throughput Control,Petroleum and coal products,25,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning
"Margin, Safety, and Emissions Reporting","Risk, Compliance, and Reporting",Process Manufacturing and Throughput Control,Petroleum and coal products,25,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning
Production Planning,Planning and Allocation,Field Production and Resource Extraction,Farms,26,Farm Management Platform | Precision Agriculture and Telematics
Input Sourcing and Procurement,Sourcing and Supply,Field Production and Resource Extraction,Farms,26,Farm Management Platform | Precision Agriculture and Telematics
Field Operations,Production and Asset Operations,Field Production and Resource Extraction,Farms,26,Farm Management Platform | Precision Agriculture and Telematics
Harvest and Logistics Management,Delivery and Service Execution,Field Production and Resource Extraction,Farms,26,Farm Management Platform | Precision Agriculture and Telematics
"Marketing, Hedging, and Program Reporting",Finance and Revenue Operations,Field Production and Resource Extraction,Farms,26,Farm Management Platform | Precision Agriculture and Telematics
Inventory Sourcing and Aging Management,Planning and Allocation,Retail and Service Commerce,Motor vehicle and parts dealers,27,Dealership Management System | CRM | Loan Origination and Servicing | Maintenance Management
Lead Management and Sales,"Access, Intake, and Contracting",Retail and Service Commerce,Motor vehicle and parts dealers,27,Dealership Management System | CRM | Loan Origination and Servicing | Maintenance Management
Financing and Underwriting,Finance and Revenue Operations,Retail and Service Commerce,Motor vehicle and parts dealers,27,Dealership Management System | CRM | Loan Origination and Servicing | Maintenance Management
Service Scheduling and Parts Management,Customer and Experience Operations,Retail and Service Commerce,Motor vehicle and parts dealers,27,Dealership Management System | CRM | Loan Origination and Servicing | Maintenance Management
Customer Retention and Remarketing,Customer and Experience Operations,Retail and Service Commerce,Motor vehicle and parts dealers,27,Dealership Management System | CRM | Loan Origination and Servicing | Maintenance Management
Capacity and Load Planning,Network and Transportation Operations,Transportation Network Operations,Truck transportation,28,Transportation Management System | Fleet Telematics and Visibility | ERP
Dispatch and Routing,Network and Transportation Operations,Transportation Network Operations,Truck transportation,28,Transportation Management System | Fleet Telematics and Visibility | ERP
Driver Safety and Compliance,"Risk, Compliance, and Reporting",Transportation Network Operations,Truck transportation,28,Transportation Management System | Fleet Telematics and Visibility | ERP
In-Transit Visibility and Proof of Delivery,Network and Transportation Operations,Transportation Network Operations,Truck transportation,28,Transportation Management System | Fleet Telematics and Visibility | ERP
Freight Audit and Billing,Finance and Revenue Operations,Transportation Network Operations,Truck transportation,28,Transportation Management System | Fleet Telematics and Visibility | ERP
Matter Intake and Conflict Review,"Access, Intake, and Contracting",Professional Services and Matter Management,Legal services,29,Document Management | Practice Management and Billing | CRM
Staffing and Task Management,Workforce and Labor Operations,Professional Services and Matter Management,Legal services,29,Document Management | Practice Management and Billing | CRM
Document and Knowledge Management,"Product, Content, and Engineering",Professional Services and Matter Management,Legal services,29,Document Management | Practice Management and Billing | CRM
Time and Expense Capture,Finance and Revenue Operations,Professional Services and Matter Management,Legal services,29,Document Management | Practice Management and Billing | CRM
Docketing and Compliance Tracking,"Risk, Compliance, and Reporting",Professional Services and Matter Management,Legal services,29,Document Management | Practice Management and Billing | CRM
Admissions and Enrollment,"Access, Intake, and Contracting",Education Delivery and Administration,Educational services,30,Student Information System | Learning Management System | HCM / Workforce Management | ERP
Scheduling and Staffing,Workforce and Labor Operations,Education Delivery and Administration,Educational services,30,Student Information System | Learning Management System | HCM / Workforce Management | ERP
Instruction Delivery,Delivery and Service Execution,Education Delivery and Administration,Educational services,30,Student Information System | Learning Management System | HCM / Workforce Management | ERP
Student Service and Retention Management,Customer and Experience Operations,Education Delivery and Administration,Educational services,30,Student Information System | Learning Management System | HCM / Workforce Management | ERP
"Billing, Aid, and Regulatory Reporting",Finance and Revenue Operations,Education Delivery and Administration,Educational services,30,Student Information System | Learning Management System | HCM / Workforce Management | ERP
Estimating and Quotation,"Access, Intake, and Contracting",Product Manufacturing and Lifecycle Operations,Fabricated metal products,31,ERP | Manufacturing Execution System | Shop Floor Control and Quality
Production Planning,Planning and Allocation,Product Manufacturing and Lifecycle Operations,Fabricated metal products,31,ERP | Manufacturing Execution System | Shop Floor Control and Quality
Shop Floor Execution and Quality Management,Production and Asset Operations,Product Manufacturing and Lifecycle Operations,Fabricated metal products,31,ERP | Manufacturing Execution System | Shop Floor Control and Quality
Quality Inspection and Certification,"Risk, Compliance, and Reporting",Product Manufacturing and Lifecycle Operations,Fabricated metal products,31,ERP | Manufacturing Execution System | Shop Floor Control and Quality
Shipping and Invoice Reconciliation,Finance and Revenue Operations,Product Manufacturing and Lifecycle Operations,Fabricated metal products,31,ERP | Manufacturing Execution System | Shop Floor Control and Quality
Asset and Reserve Evaluation,Planning and Allocation,Field Production and Resource Extraction,Oil and gas extraction,32,Upstream Energy Management | Production Accounting and Regulatory | Geoscience and Reservoir Management | ERP
Field Development Planning,Planning and Allocation,Field Production and Resource Extraction,Oil and gas extraction,32,Upstream Energy Management | Production Accounting and Regulatory | Geoscience and Reservoir Management | ERP
Production Operations,Production and Asset Operations,Field Production and Resource Extraction,Oil and gas extraction,32,Upstream Energy Management | Production Accounting and Regulatory | Geoscience and Reservoir Management | ERP
Midstream Coordination,Network and Transportation Operations,Field Production and Resource Extraction,Oil and gas extraction,32,Upstream Energy Management | Production Accounting and Regulatory | Geoscience and Reservoir Management | ERP
Revenue and Regulatory Reporting,Finance and Revenue Operations,Field Production and Resource Extraction,Oil and gas extraction,32,Upstream Energy Management | Production Accounting and Regulatory | Geoscience and Reservoir Management | ERP
Product and Engineering Configuration,"Product, Content, and Engineering",Product Manufacturing and Lifecycle Operations,Machinery,33,ERP | PLM and Engineering Design | Manufacturing Execution System | Maintenance Management
Supplier Scheduling and Procurement,Sourcing and Supply,Product Manufacturing and Lifecycle Operations,Machinery,33,ERP | PLM and Engineering Design | Manufacturing Execution System | Maintenance Management
Assembly and Test,Production and Asset Operations,Product Manufacturing and Lifecycle Operations,Machinery,33,ERP | PLM and Engineering Design | Manufacturing Execution System | Maintenance Management
Logistics and Channel Fulfillment,Delivery and Service Execution,Product Manufacturing and Lifecycle Operations,Machinery,33,ERP | PLM and Engineering Design | Manufacturing Execution System | Maintenance Management
Aftermarket Service and Field Support,Customer and Experience Operations,Product Manufacturing and Lifecycle Operations,Machinery,33,ERP | PLM and Engineering Design | Manufacturing Execution System | Maintenance Management
Program and Platform Planning,Planning and Allocation,Product Manufacturing and Lifecycle Operations,Other transportation equipment,34,ERP | PLM and Engineering Design | Project and Construction Management
Supplier Coordination and Compliance,Sourcing and Supply,Product Manufacturing and Lifecycle Operations,Other transportation equipment,34,ERP | PLM and Engineering Design | Project and Construction Management
"Assembly, Test, and Certification",Production and Asset Operations,Product Manufacturing and Lifecycle Operations,Other transportation equipment,34,ERP | PLM and Engineering Design | Project and Construction Management
Delivery and Contract Milestone Management,Delivery and Service Execution,Product Manufacturing and Lifecycle Operations,Other transportation equipment,34,ERP | PLM and Engineering Design | Project and Construction Management
Aftermarket Service and Field Support,Customer and Experience Operations,Product Manufacturing and Lifecycle Operations,Other transportation equipment,34,ERP | PLM and Engineering Design | Project and Construction Management
Demand and Allocation Planning,Planning and Allocation,Product Manufacturing and Lifecycle Operations,Computer and electronic products,35,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning
Engineering Change Management,"Product, Content, and Engineering",Product Manufacturing and Lifecycle Operations,Computer and electronic products,35,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning
Shop Floor Execution and Quality Management,Production and Asset Operations,Product Manufacturing and Lifecycle Operations,Computer and electronic products,35,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning
